# am=1.500000000e-02, bm=2.080000000e+00, av=3.581000000e+00, bv=3.000000000e-01,
index,D,Npart,beta_z,gamma_z,kappa_z,zeta1_z,alpha_eff,m,ar_mono,vel
0,0.002,58.0,4.41466,2.8239099999999997,0.240129,0.0341554,0.582481,3.6495023701493094e-08,0.058248100000000004,0.5550259894410595
1,0.003,69.0,3.36595,2.5994,0.241038,0.05188530000000001,0.619384,8.482101573973507e-08,0.061938400000000005,0.6268169002741697
2,0.004,72.0,1.17521,2.06344,0.22698400000000002,0.0959158,0.63777,1.5430359377277345e-07,0.063777,0.683317146161595
3,0.005,93.0,1.5346600000000001,2.2039400000000002,0.202231,0.06861410000000001,0.641597,2.4544199260479484e-07,0.0641597,0.7306263354432132
4,0.006,82.0,0.798874,2.0427,0.198657,0.114658,0.619425,3.5862937542256307e-07,0.061942500000000005,0.7717021249627214
5,0.007,99.0,0.631846,1.92203,0.190647,0.131802,0.650015,4.941913986544105e-07,0.0650015,0.8082277042583189
6,0.008,79.0,0.812947,2.01189,0.21331399999999998,0.105341,0.6396390000000001,6.524067293651049e-07,0.0639639,0.8412620870396392
7,0.009,72.0,0.654903,1.94438,0.218834,0.115685,0.627827,8.335193353006112e-07,0.06278270000000001,0.8715194299121928
8,0.01,62.0,0.981079,2.15984,0.192762,0.0910432,0.6426729999999999,1.0377464563784043e-06,0.0642673,0.8995065311235806
9,0.011,80.0,0.677164,1.95805,0.14768,0.1355,0.6333439999999999,1.2652840813722637e-06,0.0633344,0.9255974011630549
10,0.012,83.0,0.691729,1.96005,0.17971900000000002,0.10715799999999999,0.62203,1.5163108787876372e-06,0.062203,0.9500767599142549
11,0.013,74.0,0.8060149999999999,2.04642,0.191194,0.114032,0.637128,1.7909911170971042e-06,0.0637128,0.9731668948614018
12,0.014,56.0,0.7831739999999999,2.0364,0.195799,0.111871,0.64782,2.0894768954718916e-06,0.06478199999999999,0.9950450228082166
13,0.015,67.0,0.674638,1.97471,0.18072,0.11465,0.636054,2.4119098875040796e-06,0.0636054,1.0158549443478424
14,0.016,79.0,0.7500359999999999,2.0272099999999997,0.207519,0.101164,0.666139,2.758422730890248e-06,0.0666139,1.0357151186177365
15,0.017,99.0,0.659809,1.98438,0.185593,0.11457300000000001,0.682966,3.1291401534007907e-06,0.0682966,1.0547244105103917
16,0.018,114.0,0.573509,1.94963,0.17583,0.12515,0.664585,3.524179898277905e-06,0.0664585,1.0729662772579422
17,0.019,112.0,0.708248,2.01545,0.178575,0.10769100000000001,0.6643060000000001,3.943653494306772e-06,0.0664306,1.0905118804210447
18,0.02,98.0,0.626595,1.9804099999999998,0.182152,0.137329,0.654675,4.387666903682468e-06,0.0654675,1.1074224405600614
19,0.021,77.0,0.5442140000000001,1.9257,0.200318,0.13037,0.627289,4.856321072381798e-06,0.0627289,1.123751047150056
20,0.022,59.0,0.523207,1.91009,0.22365,0.140645,0.5780069999999999,5.3497124017824655e-06,0.057800699999999997,1.1395440694484684
21,0.023,49.0,0.396104,1.80046,0.175903,0.18621600000000002,0.596965,5.86793315595886e-06,0.0596965,1.1548422702572405
