# Example data file 
# created 2020-08-27 21:10:43 
# am=0.7516065098865268,bm=2.517191867370548,av=33.38344199502238,bv=0.5948141726195734,aa=0.29241465145152457,ba=2.0212361145912143,monomer_alpha=0.3,
Diam_max,Dmax,area,mass,vel_Bohm,vel_KC,kappa,gamma,beta,zeta,alpha_eff
2.000000e-03,1.979343e-03,9.936000e-07,9.639504e-08,8.373892e-01,1.134109e+00,1.042714e-01,1.594565e+00,2.105883e-01,1.815105e-01,7.896114e-01
3.000000e-03,2.988745e-03,2.407800e-06,3.229601e-07,1.176674e+00,1.421699e+00,1.180905e-01,1.601920e+00,1.916740e-01,2.314412e-01,8.168254e-01
4.000000e-03,3.917244e-03,4.676000e-06,7.323455e-07,1.441915e+00,1.632844e+00,1.374372e-01,1.558646e+00,1.327010e-01,2.637958e-01,8.246685e-01
5.000000e-03,4.960444e-03,6.996000e-06,1.282560e-06,1.582512e+00,1.826056e+00,1.429648e-01,1.358152e+00,1.002017e-01,3.068211e-01,8.166127e-01
6.000000e-03,6.000867e-03,1.018840e-05,2.086476e-06,1.736503e+00,1.978620e+00,1.650754e-01,1.478539e+00,1.360335e-01,2.034326e-01,8.435621e-01
7.000000e-03,6.915708e-03,1.248320e-05,2.722335e-06,1.750355e+00,2.050389e+00,1.567839e-01,1.392760e+00,1.116834e-01,2.240699e-01,8.047151e-01
8.000000e-03,7.999512e-03,1.615580e-05,4.071275e-06,1.862677e+00,2.136635e+00,1.733668e-01,1.412805e+00,9.571788e-02,1.965224e-01,8.106552e-01
9.000000e-03,8.975588e-03,2.196380e-05,5.598278e-06,1.999547e+00,2.151460e+00,1.650754e-01,1.407015e+00,9.832134e-02,2.170714e-01,7.899400e-01
1.000000e-02,9.903048e-03,2.785320e-05,7.503136e-06,2.048878e+00,2.189933e+00,2.010050e-01,1.407910e+00,1.152805e-01,2.141823e-01,8.112280e-01
1.100000e-02,1.096721e-02,3.238360e-05,9.120079e-06,2.100408e+00,2.236577e+00,1.927136e-01,1.234021e+00,7.171357e-02,2.503624e-01,8.469452e-01
1.200000e-02,1.207048e-02,3.948600e-05,1.331880e-05,2.190112e+00,2.222531e+00,2.010050e-01,1.508612e+00,1.119802e-01,2.584073e-01,8.284105e-01
1.300000e-02,1.279133e-02,4.798820e-05,1.617052e-05,2.289379e+00,2.238179e+00,2.065327e-01,1.396826e+00,8.038474e-02,3.725123e-01,8.328161e-01
1.400000e-02,1.388130e-02,5.376840e-05,1.982707e-05,2.299757e+00,2.302692e+00,2.120603e-01,1.363755e+00,8.639894e-02,2.087901e-01,8.561910e-01
1.500000e-02,1.496727e-02,5.985040e-05,2.236717e-05,2.266389e+00,2.303501e+00,2.065327e-01,1.133236e+00,4.098980e-02,2.387866e-01,8.212727e-01
1.600000e-02,1.570922e-02,6.090520e-05,2.454359e-05,2.229838e+00,2.347597e+00,2.369347e-01,1.229673e+00,5.870325e-02,2.150714e-01,8.752744e-01
1.700000e-02,1.681357e-02,5.195840e-05,1.991536e-05,2.012928e+00,2.372385e+00,2.037688e-01,1.120617e+00,5.102259e-02,9.370940e-02,9.099519e-01
