# Table of coefficients for aggregates of column generated with the aggregation code of Jussi Leinonen available at https://github.com/jleinonen/aggregation 
# author: Leonie von Terzi, email:lterzi@uni-koeln.de
# Particles generated with an inverse exponential PSD of monomers, size parameters varying from 50e-6 to 9.32e-3m,min_size:100e-6m,max_size:3000e-6,grid_res:1e-5,the following velocity fits were calculated with a power law from Boehm relation
# am=0.05376330,bm=2.07712613,av=5.46674331,bv=0.27234211,aa=0.05001,ba=1.79750717,monomer_alpha=3.717
Diam_max,mass,area,vel_Bohm,vel_KC,beta,gamma,kappa,zeta,alpha_eff
8.750000e-04,2.409760e-08,2.094318e-07,6.749279e-01,9.781199e-01,1.109745e+01,3.859851e+00,2.075336e-01,2.869540e-02,8.013245e-01
1.375000e-03,5.873347e-08,4.404595e-07,8.314302e-01,1.198310e+00,2.193270e+01,3.926877e+00,2.209622e-01,1.717426e-02,7.905354e-01
1.875000e-03,1.041367e-07,7.165400e-07,9.135804e-01,1.333862e+00,2.510681e+01,3.783971e+00,2.275662e-01,1.406127e-02,8.007686e-01
2.375000e-03,1.758151e-07,1.060820e-06,1.018133e+00,1.495160e+00,2.229728e+01,3.652710e+00,2.338899e-01,1.424235e-02,7.889597e-01
2.875000e-03,2.722597e-07,1.483899e-06,1.111185e+00,1.635430e+00,1.710091e+01,3.492258e+00,2.512038e-01,1.704118e-02,7.844331e-01
3.375000e-03,3.920695e-07,1.942716e-06,1.185759e+00,1.760865e+00,1.504752e+01,3.345799e+00,2.474617e-01,1.840689e-02,7.811438e-01
3.875000e-03,5.407073e-07,2.527329e-06,1.262187e+00,1.853503e+00,1.529421e+01,3.325393e+00,2.387320e-01,1.625193e-02,7.962114e-01
4.375000e-03,6.896436e-07,3.085317e-06,1.298533e+00,1.918371e+00,1.510815e+01,3.267012e+00,2.325339e-01,1.527726e-02,8.093846e-01
4.875000e-03,8.644378e-07,3.685084e-06,1.337667e+00,1.977820e+00,1.974999e+01,3.294988e+00,2.397893e-01,1.600923e-02,8.048539e-01
5.375000e-03,1.080839e-06,4.417926e-06,1.381691e+00,2.036539e+00,1.624482e+01,3.190652e+00,2.332010e-01,1.796602e-02,8.131970e-01
5.875000e-03,1.357705e-06,5.279074e-06,1.444817e+00,2.093737e+00,1.204675e+01,3.060035e+00,2.244083e-01,2.095632e-02,8.068734e-01
6.375000e-03,1.560645e-06,5.894616e-06,1.451067e+00,2.126175e+00,1.060783e+01,3.018684e+00,2.302135e-01,1.871441e-02,8.003027e-01
6.875000e-03,1.889748e-06,6.979135e-06,1.497852e+00,2.144087e+00,8.748405e+00,2.894944e+00,2.341862e-01,2.236177e-02,8.131923e-01
7.375000e-03,2.133179e-06,7.748194e-06,1.499638e+00,2.147745e+00,8.162431e+00,2.835075e+00,2.468585e-01,2.792762e-02,8.085595e-01
7.875000e-03,2.457501e-06,8.716103e-06,1.517460e+00,2.156183e+00,5.926302e+00,2.679563e+00,2.398216e-01,3.334532e-02,8.133967e-01
8.375000e-03,2.809295e-06,9.713751e-06,1.540761e+00,2.163275e+00,5.454531e+00,2.650975e+00,2.258193e-01,3.555036e-02,8.037485e-01
8.875000e-03,3.152816e-06,1.079520e-05,1.555273e+00,2.158906e+00,4.466752e+00,2.558538e+00,2.240819e-01,4.294785e-02,8.006570e-01
9.375000e-03,3.636997e-06,1.222469e-05,1.583767e+00,2.154970e+00,4.061562e+00,2.493990e+00,2.299329e-01,3.854817e-02,7.956024e-01
9.875000e-03,4.000450e-06,1.335016e-05,1.589867e+00,2.146585e+00,3.269489e+00,2.419432e+00,2.235613e-01,4.403272e-02,7.785052e-01
1.037500e-02,4.458782e-06,1.464576e-05,1.605573e+00,2.144539e+00,2.402163e+00,2.298597e+00,2.192388e-01,4.724486e-02,7.965079e-01
1.087500e-02,4.811543e-06,1.568440e-05,1.596690e+00,2.133615e+00,2.077347e+00,2.221070e+00,2.289364e-01,5.555298e-02,8.106800e-01
1.137500e-02,5.156659e-06,1.685818e-05,1.584618e+00,2.115710e+00,1.771567e+00,2.148460e+00,2.293963e-01,6.008929e-02,7.923535e-01
1.187500e-02,5.487158e-06,1.786578e-05,1.575083e+00,2.108541e+00,1.493442e+00,2.083873e+00,2.212735e-01,7.105147e-02,8.123852e-01
1.237500e-02,5.769583e-06,1.882881e-05,1.553462e+00,2.093831e+00,1.471363e+00,2.072393e+00,2.295234e-01,7.434329e-02,7.878160e-01
1.287500e-02,5.970343e-06,1.954096e-05,1.532237e+00,2.082552e+00,1.417154e+00,2.066778e+00,2.294310e-01,8.036249e-02,7.643888e-01
1.337500e-02,6.334266e-06,2.035185e-05,1.525692e+00,2.089626e+00,1.174847e+00,2.009230e+00,2.176955e-01,8.970111e-02,7.523349e-01
1.387500e-02,6.472100e-06,2.120344e-05,1.492324e+00,2.064302e+00,1.160173e+00,2.005877e+00,2.008349e-01,9.235933e-02,7.640663e-01
1.437500e-02,7.097928e-06,2.287707e-05,1.505969e+00,2.076644e+00,1.247580e+00,2.036219e+00,2.029221e-01,8.558691e-02,7.673696e-01
1.487500e-02,6.826007e-06,2.232049e-05,1.438331e+00,2.054902e+00,1.214902e+00,2.049379e+00,2.313861e-01,7.949995e-02,7.454905e-01
1.537500e-02,7.334333e-06,2.373844e-05,1.435581e+00,2.065227e+00,1.630894e+00,2.158585e+00,2.380405e-01,6.112989e-02,7.136834e-01
