# Table of coefficients for aggregates of column monomer crystals with normalized rime mass M = 0.0129 generated with the aggregation code of Jussi Leinonen available at https://github.com/jleinonen/aggregation 
# generated for Maherndl et al. (2023): "A riming-dependent parameterization of scattering by snowflakes using the self-similar Rayleigh–Gans approximation" 
# created by Nina Maherndl (email:nina.maherndl@uni-leipzig.de) on 2023-03-28 14:12:05 
# The following velocity fits were calculated with a power law fit from Heymsfield&Westbrook, 2010 (https://doi.org/10.1175/2010JAS3379.1) relation 
# am=0.0988,bm=2.17,av=21.603873351514135,bv=0.45850823385814715,aa=0.0392,ba=1.73,monomer_alpha=1.0
Diam_max,Dmax,area,mass,vel_HW,vel_Bohm,kappa,gamma,beta,zeta,alpha_eff,number
5.000000e-04,5.217014e-04,8.880000e-08,8.817872e-09,6.531198e-01,7.747675e-01,1.595477e-01,3.764664e+00,5.351124e+00,6.433533e-02,6.445046e-01,4.020000e+02
7.000000e-04,7.292440e-04,1.464000e-07,1.684346e-08,7.787337e-01,9.337805e-01,2.037688e-01,3.788807e+00,6.557834e+00,4.355933e-02,5.866998e-01,1.594000e+03
9.000000e-04,8.995951e-04,2.196000e-07,2.751367e-08,8.796181e-01,1.061401e+00,2.092965e-01,3.894814e+00,1.173930e+01,2.868486e-02,5.899655e-01,3.632000e+03
1.100000e-03,1.102894e-03,2.992000e-07,4.052406e-08,9.573965e-01,1.159408e+00,2.286432e-01,3.918281e+00,1.580258e+01,2.223805e-02,5.690406e-01,4.496000e+03
1.300000e-03,1.284153e-03,3.600000e-07,5.101821e-08,9.848541e-01,1.223125e+00,2.396985e-01,3.762491e+00,1.010645e+01,2.567611e-02,5.136337e-01,3.864000e+03
1.500000e-03,1.504615e-03,4.240000e-07,6.193051e-08,1.014766e+00,1.309810e+00,2.590452e-01,3.752511e+00,8.400723e+00,2.729532e-02,4.516418e-01,2.409000e+03
1.700000e-03,1.715369e-03,4.820000e-07,7.378549e-08,1.029985e+00,1.358970e+00,2.535176e-01,4.081146e+00,2.111375e+01,2.328861e-02,4.722151e-01,8.050000e+02
1.900000e-03,1.942813e-03,6.164000e-07,9.574214e-08,1.080456e+00,1.421757e+00,3.005025e-01,3.872208e+00,1.342795e+01,1.577686e-02,4.742473e-01,4.820000e+02
2.300000e-03,2.272769e-03,1.243600e-06,2.340918e-07,1.405775e+00,1.618915e+00,1.650754e-01,2.952526e+00,4.308103e+00,4.717158e-02,6.041865e-01,4.100000e+01
2.500000e-03,2.513345e-03,1.531400e-06,2.940562e-07,1.486958e+00,1.675430e+00,1.927136e-01,2.791925e+00,2.843781e+00,6.021468e-02,6.370249e-01,6.800000e+01
2.700000e-03,2.713125e-03,1.598000e-06,3.248528e-07,1.480375e+00,1.742239e+00,2.396985e-01,2.858652e+00,3.312951e+00,3.603390e-02,5.824770e-01,8.000000e+01
2.900000e-03,2.922197e-03,1.842000e-06,3.651934e-07,1.497265e+00,1.740232e+00,1.650754e-01,2.489687e+00,1.518748e+00,5.338762e-02,5.839604e-01,3.300000e+01
3.100000e-03,3.111269e-03,2.022800e-06,4.244536e-07,1.545720e+00,1.832311e+00,1.899497e-01,2.595775e+00,2.273242e+00,4.010873e-02,6.074205e-01,6.700000e+01
3.300000e-03,3.283520e-03,2.338000e-06,5.477131e-07,1.635036e+00,1.873268e+00,2.618090e-01,3.067243e+00,6.063571e+00,2.554937e-02,5.562777e-01,6.700000e+01
3.500000e-03,3.488352e-03,2.837800e-06,6.332765e-07,1.678441e+00,1.899453e+00,1.899497e-01,2.303239e+00,1.001195e+00,7.741044e-02,6.233324e-01,7.600000e+01
3.700000e-03,3.691934e-03,2.697600e-06,6.549067e-07,1.651789e+00,1.939838e+00,2.369347e-01,2.631901e+00,1.957652e+00,6.433381e-02,5.378557e-01,9.800000e+01
3.900000e-03,3.855421e-03,3.368800e-06,7.485508e-07,1.698488e+00,1.955773e+00,2.258794e-01,2.709540e+00,2.077476e+00,4.273741e-02,5.490455e-01,5.300000e+01
4.100000e-03,4.100597e-03,3.349200e-06,7.993892e-07,1.699025e+00,1.965537e+00,2.618090e-01,2.438169e+00,1.469044e+00,5.624104e-02,5.701377e-01,5.300000e+01
4.300000e-03,4.269683e-03,3.872800e-06,9.581990e-07,1.788827e+00,2.038600e+00,1.816583e-01,2.462189e+00,1.695955e+00,8.533311e-02,5.827933e-01,6.700000e+01
4.500000e-03,4.510321e-03,3.911600e-06,9.556350e-07,1.770002e+00,2.104862e+00,1.429648e-01,3.250087e+00,6.596940e+00,4.358881e-02,4.621310e-01,4.800000e+01
4.700000e-03,4.722197e-03,4.789600e-06,1.254229e-06,1.902924e+00,2.143064e+00,1.844221e-01,1.795602e+00,2.472247e-01,2.119705e-01,5.915678e-01,4.500000e+01
4.900000e-03,4.913951e-03,4.575200e-06,1.166714e-06,1.783780e+00,2.098820e+00,2.037688e-01,2.922791e+00,5.147647e+00,4.665351e-02,5.643838e-01,4.400000e+01
5.500000e-03,5.495948e-03,5.671600e-06,1.566133e-06,1.948551e+00,2.225258e+00,2.092965e-01,2.300092e+00,1.258131e+00,3.242960e-02,5.812721e-01,3.800000e+01
6.100000e-03,6.106619e-03,7.256200e-06,2.207644e-06,2.074836e+00,2.308437e+00,1.623116e-01,2.433601e+00,1.012079e+00,8.256586e-02,4.953961e-01,4.400000e+01
7.300000e-03,7.299316e-03,1.193640e-05,4.078845e-06,2.311671e+00,2.386783e+00,1.567839e-01,2.250931e+00,8.585880e-01,2.036869e-01,6.452842e-01,4.300000e+01
