# Table of coefficients for aggregates of column monomer crystals with normalized rime mass M = 0.0205 generated with the aggregation code of Jussi Leinonen available at https://github.com/jleinonen/aggregation 
# generated for Maherndl et al. (2023): "A riming-dependent parameterization of scattering by snowflakes using the self-similar Rayleigh–Gans approximation" 
# created by Nina Maherndl (email:nina.maherndl@uni-leipzig.de) on 2023-03-28 14:12:05 
# The following velocity fits were calculated with a power law fit from Heymsfield&Westbrook, 2010 (https://doi.org/10.1175/2010JAS3379.1) relation 
# am=0.21,bm=2.26,av=30.130924352673677,bv=0.5010649940311165,aa=0.0506,ba=1.77,,monomer_alpha=1.0
,Diam_max,Dmax,area,mass,vel_HW,vel_Bohm,kappa,gamma,beta,zeta,alpha_eff,number
1,3.000000e-04,3.711471e-04,5.200000e-08,4.489632e-09,5.203377e-01,6.242847e-01,1.263819e-01,3.587231e+00,2.267164e+00,8.848943e-02,7.282726e-01,4.500000e+01
2,5.000000e-04,5.203369e-04,8.940000e-08,9.309384e-09,6.717481e-01,7.928948e-01,1.678392e-01,3.711020e+00,4.630312e+00,6.288494e-02,6.524648e-01,6.100000e+02
3,7.000000e-04,7.292440e-04,1.472000e-07,1.779714e-08,8.034526e-01,9.562092e-01,2.065327e-01,3.726535e+00,5.643201e+00,4.928539e-02,5.889787e-01,2.488000e+03
4,9.000000e-04,9.050668e-04,2.276000e-07,3.039305e-08,9.231580e-01,1.095055e+00,2.120603e-01,3.848170e+00,1.056419e+01,3.047672e-02,6.026492e-01,6.044000e+03
5,1.100000e-03,1.111151e-03,3.172000e-07,4.568861e-08,1.015710e+00,1.206629e+00,2.286432e-01,3.785880e+00,1.183021e+01,2.658709e-02,5.919739e-01,8.731000e+03
6,1.300000e-03,1.289968e-03,3.892000e-07,5.857062e-08,1.055938e+00,1.282640e+00,2.258794e-01,3.661820e+00,8.392720e+00,2.844753e-02,5.435789e-01,9.091000e+03
7,1.500000e-03,1.486942e-03,4.640000e-07,7.397622e-08,1.106559e+00,1.382387e+00,2.590452e-01,3.607416e+00,5.513118e+00,2.889099e-02,4.787857e-01,6.368000e+03
8,1.700000e-03,1.680432e-03,5.440000e-07,9.107644e-08,1.140963e+00,1.436977e+00,2.314070e-01,3.808533e+00,1.174515e+01,2.791650e-02,5.063876e-01,2.856000e+03
9,1.900000e-03,1.898234e-03,6.536000e-07,1.089396e-07,1.164535e+00,1.492003e+00,3.115578e-01,3.847029e+00,1.463360e+01,1.732105e-02,4.851325e-01,3.990000e+02
10,2.100000e-03,2.134873e-03,1.128800e-06,2.217820e-07,1.421382e+00,1.627296e+00,1.650754e-01,3.210037e+00,6.087333e+00,2.362974e-02,6.154211e-01,3.900000e+01
11,2.300000e-03,2.268024e-03,1.261600e-06,2.564225e-07,1.476570e+00,1.686405e+00,1.623116e-01,3.069494e+00,4.716871e+00,4.295363e-02,5.962902e-01,7.000000e+01
12,2.500000e-03,2.498321e-03,1.603600e-06,3.417622e-07,1.591692e+00,1.761951e+00,1.706030e-01,2.942168e+00,3.896927e+00,4.741125e-02,6.504963e-01,8.600000e+01
13,2.700000e-03,2.724630e-03,1.666400e-06,3.813840e-07,1.603633e+00,1.842837e+00,2.479899e-01,2.962359e+00,3.686213e+00,3.607555e-02,5.954850e-01,1.200000e+02
14,2.900000e-03,2.905213e-03,1.951200e-06,4.405268e-07,1.667247e+00,1.878139e+00,1.844221e-01,2.740691e+00,2.509666e+00,4.393538e-02,5.958892e-01,5.900000e+01
15,3.100000e-03,3.124979e-03,2.126000e-06,5.095292e-07,1.686977e+00,1.956748e+00,1.844221e-01,2.702041e+00,2.794199e+00,3.715209e-02,6.161949e-01,9.500000e+01
16,3.300000e-03,3.288933e-03,2.584400e-06,6.651515e-07,1.776498e+00,1.996103e+00,2.507538e-01,2.991743e+00,4.511116e+00,3.052610e-02,5.688068e-01,1.000000e+02
17,3.500000e-03,3.497740e-03,2.931000e-06,7.365051e-07,1.800710e+00,2.016354e+00,2.037688e-01,2.494190e+00,1.462196e+00,5.732836e-02,6.319837e-01,1.140000e+02
18,3.700000e-03,3.710126e-03,2.902000e-06,7.835031e-07,1.817631e+00,2.092588e+00,2.203518e-01,2.743406e+00,2.403760e+00,6.263375e-02,5.510323e-01,1.380000e+02
19,3.900000e-03,3.861461e-03,3.466400e-06,9.215703e-07,1.879193e+00,2.127488e+00,2.314070e-01,2.797789e+00,2.191175e+00,3.876669e-02,5.594377e-01,1.060000e+02
20,4.100000e-03,4.110177e-03,3.662000e-06,1.023416e-06,1.897526e+00,2.132047e+00,2.562814e-01,2.436214e+00,1.148775e+00,5.594591e-02,5.895909e-01,7.100000e+01
21,4.300000e-03,4.272295e-03,4.105600e-06,1.161894e-06,1.954452e+00,2.169411e+00,1.788945e-01,2.732636e+00,2.981767e+00,6.289523e-02,5.807861e-01,9.600000e+01
22,4.500000e-03,4.519123e-03,4.353400e-06,1.240657e-06,1.985772e+00,2.292606e+00,1.650754e-01,3.179545e+00,4.635303e+00,4.924712e-02,4.739304e-01,7.800000e+01
23,4.700000e-03,4.730635e-03,5.029200e-06,1.650798e-06,2.121919e+00,2.317175e+00,2.231156e-01,2.043793e+00,3.453998e-01,6.494203e-02,5.910864e-01,5.700000e+01
24,4.900000e-03,4.922897e-03,4.916400e-06,1.499273e-06,2.033148e+00,2.305163e+00,1.650754e-01,2.765634e+00,3.588300e+00,6.425074e-02,5.903752e-01,7.500000e+01
26,5.300000e-03,5.312259e-03,6.285200e-06,2.113993e-06,2.191119e+00,2.395206e+00,2.479899e-01,2.637461e+00,2.427534e+00,8.812480e-03,5.613936e-01,3.900000e+01
27,5.500000e-03,5.477204e-03,6.082000e-06,2.046128e-06,2.164032e+00,2.400618e+00,2.065327e-01,2.478616e+00,1.629491e+00,3.749334e-02,5.602943e-01,5.500000e+01
28,5.700000e-03,5.663880e-03,7.519400e-06,2.547261e-06,2.306562e+00,2.505487e+00,1.871859e-01,2.691851e+00,2.598696e+00,3.067841e-02,5.635240e-01,4.800000e+01
30,6.100000e-03,6.091120e-03,7.470400e-06,2.669864e-06,2.268408e+00,2.480557e+00,1.761307e-01,2.528506e+00,1.010990e+00,7.121402e-02,4.749631e-01,7.300000e+01
32,6.500000e-03,6.428933e-03,1.036180e-05,3.835448e-06,2.456406e+00,2.530868e+00,1.567839e-01,2.190982e+00,7.337398e-01,1.700745e-01,6.227901e-01,4.000000e+01
