# Table of coefficients for aggregates of column monomer crystals with normalized rime mass M = 0.2045 generated with the aggregation code of Jussi Leinonen available at https://github.com/jleinonen/aggregation 
# generated for Maherndl et al. (2023): "A riming-dependent parameterization of scattering by snowflakes using the self-similar Rayleigh–Gans approximation" 
# created by Nina Maherndl (email:nina.maherndl@uni-leipzig.de) on 2023-03-28 14:12:05 
# The following velocity fits were calculated with a power law fit from Heymsfield&Westbrook, 2010 (https://doi.org/10.1175/2010JAS3379.1) relation 
# am=28.6,bm=2.82,av=163.01678383947353,bv=0.6639736297017929,aa=0.298,ba=1.97,monomer_alpha=1.0
,Diam_max,Dmax,area,mass,vel_HW,vel_Bohm,kappa,gamma,beta,zeta,alpha_eff,number
1,3.000000e-04,3.779032e-04,6.120000e-08,7.556080e-09,7.181230e-01,7.876713e-01,8.492462e-02,3.435416e+00,2.362641e+00,1.060808e-01,7.878505e-01,4.110000e+02
2,5.000000e-04,5.132016e-04,1.072000e-07,1.676643e-08,9.557682e-01,1.034753e+00,1.595477e-01,3.324942e+00,2.052548e+00,8.913861e-02,7.640135e-01,2.962000e+03
3,7.000000e-04,7.100209e-04,1.896000e-07,3.810685e-08,1.244494e+00,1.337117e+00,2.092965e-01,3.209250e+00,1.419345e+00,9.961285e-02,6.852688e-01,5.124000e+03
4,9.000000e-04,9.196220e-04,3.204000e-07,7.860524e-08,1.537068e+00,1.610854e+00,2.286432e-01,3.179189e+00,1.484949e+00,7.666882e-02,7.047762e-01,7.848000e+03
5,1.100000e-03,1.096372e-03,4.432000e-07,1.272503e-07,1.766018e+00,1.834909e+00,2.258794e-01,3.204873e+00,1.638282e+00,7.219477e-02,6.796530e-01,1.075200e+04
6,1.300000e-03,1.307475e-03,6.196000e-07,2.053750e-07,2.000921e+00,2.061011e+00,2.314070e-01,3.138992e+00,1.311497e+00,6.521844e-02,6.740895e-01,1.057000e+04
7,1.500000e-03,1.479475e-03,7.784000e-07,2.826341e-07,2.160687e+00,2.228168e+00,2.562814e-01,3.138027e+00,1.144934e+00,7.804701e-02,6.630751e-01,5.930000e+03
8,1.700000e-03,1.669139e-03,9.676000e-07,3.819342e-07,2.290979e+00,2.371232e+00,2.314070e-01,3.445319e+00,2.634335e+00,5.330283e-02,6.670742e-01,1.613000e+03
9,1.900000e-03,1.899467e-03,1.301600e-06,5.972494e-07,2.607983e+00,2.625080e+00,2.286432e-01,3.565351e+00,3.785691e+00,4.706481e-02,6.741002e-01,5.700000e+02
10,2.100000e-03,2.090610e-03,1.611200e-06,8.122272e-07,2.834116e+00,2.812383e+00,2.314070e-01,3.581619e+00,3.311741e+00,2.455918e-02,6.691121e-01,4.420000e+02
11,2.300000e-03,2.292037e-03,2.011600e-06,1.062422e-06,2.964305e+00,2.909003e+00,2.092965e-01,3.597028e+00,4.779370e+00,1.936968e-02,7.028114e-01,3.130000e+02
12,2.500000e-03,2.499444e-03,2.311200e-06,1.326672e-06,3.120599e+00,3.068931e+00,2.065327e-01,3.853148e+00,7.595502e+00,1.838175e-02,6.839702e-01,5.930000e+02
13,2.700000e-03,2.697718e-03,2.768200e-06,1.704395e-06,3.319410e+00,3.214018e+00,1.954774e-01,3.708418e+00,6.683506e+00,2.409940e-02,7.196307e-01,7.500000e+02
14,2.900000e-03,2.909320e-03,3.185200e-06,2.060433e-06,3.435907e+00,3.331717e+00,2.396985e-01,3.805380e+00,7.594668e+00,2.292058e-02,7.021287e-01,6.880000e+02
15,3.100000e-03,3.086734e-03,3.420000e-06,2.487040e-06,3.624757e+00,3.522692e+00,2.314070e-01,3.812171e+00,6.019734e+00,2.427933e-02,6.708257e-01,7.680000e+02
16,3.300000e-03,3.309558e-03,3.937600e-06,3.001473e-06,3.764257e+00,3.610912e+00,1.982412e-01,3.971215e+00,7.795215e+00,2.080207e-02,6.842966e-01,4.950000e+02
17,3.500000e-03,3.510939e-03,4.520000e-06,3.542191e-06,3.865417e+00,3.687508e+00,2.231156e-01,3.672092e+00,5.766814e+00,2.331084e-02,6.905290e-01,1.004000e+03
18,3.700000e-03,3.700492e-03,5.033400e-06,4.219381e-06,4.031972e+00,3.781004e+00,2.314070e-01,3.748464e+00,5.497565e+00,2.344269e-02,6.559841e-01,8.800000e+02
19,3.900000e-03,3.886926e-03,5.714000e-06,4.943184e-06,4.181285e+00,3.853436e+00,2.148241e-01,3.743174e+00,6.434526e+00,2.254762e-02,7.082659e-01,8.820000e+02
20,4.100000e-03,4.106769e-03,6.030400e-06,5.481114e-06,4.262551e+00,3.968649e+00,2.314070e-01,3.653624e+00,3.588347e+00,3.390166e-02,6.387404e-01,7.770000e+02
21,4.300000e-03,4.294539e-03,6.547600e-06,6.453222e-06,4.473038e+00,4.076668e+00,2.452261e-01,3.921161e+00,6.909690e+00,2.126074e-02,6.441802e-01,9.870000e+02
22,4.500000e-03,4.492075e-03,7.381800e-06,7.488006e-06,4.600942e+00,4.098355e+00,2.396985e-01,3.658739e+00,4.946147e+00,2.519009e-02,6.835246e-01,5.720000e+02
23,4.700000e-03,4.693530e-03,7.994000e-06,8.115164e-06,4.587372e+00,4.080540e+00,2.231156e-01,4.014479e+00,1.017359e+01,1.492495e-02,6.437167e-01,7.510000e+02
24,4.900000e-03,4.873951e-03,8.849200e-06,9.749141e-06,4.842739e+00,4.184590e+00,1.982412e-01,3.873612e+00,6.687089e+00,1.884361e-02,6.203917e-01,5.400000e+02
25,5.100000e-03,5.091404e-03,9.513800e-06,1.059658e-05,4.862982e+00,4.190023e+00,2.203518e-01,3.650761e+00,3.836210e+00,1.906981e-02,6.616471e-01,4.180000e+02
26,5.300000e-03,5.305059e-03,1.002720e-05,1.151997e-05,4.937263e+00,4.231426e+00,2.120603e-01,3.709226e+00,3.700028e+00,2.240462e-02,6.514434e-01,4.430000e+02
27,5.500000e-03,5.490200e-03,1.075320e-05,1.292688e-05,5.090920e+00,4.266972e+00,1.927136e-01,4.272101e+00,2.038122e+01,1.077274e-02,6.379059e-01,3.610000e+02
28,5.700000e-03,5.690734e-03,1.151440e-05,1.356990e-05,5.050755e+00,4.224587e+00,2.562814e-01,3.758092e+00,5.832334e+00,1.331703e-02,6.402032e-01,2.970000e+02
29,5.900000e-03,5.863137e-03,1.275440e-05,1.593754e-05,5.303725e+00,4.338340e+00,2.424623e-01,3.736598e+00,7.442380e+00,8.195823e-03,6.723050e-01,1.680000e+02
