# Table of coefficients for aggregates of dendrite generated with the aggregation code of Jussi Leinonen available at https://github.com/jleinonen/aggregation 
# author: Leonie von Terzi, email:lterzi@uni-koeln.de
# Particles generated with an inverse exponential PSD of monomers, size parameters varying from 50e-6 to 9.32e-3m,min_size:100e-6m,max_size:3000e-6,grid_res:1e-5,the following velocity fits were calculated with a power law from Boehm relation
# am=0.00998766,bm=2.00128076,av=2.50741364,bv=0.27052854,aa=0.05768,ba=1.81618770,monomer_alpha=0.049,
Diam_max,mass,area,vel_Bohm,vel_KC,beta,gamma,kappa,zeta,alpha_eff
8.750000e-04,5.385322e-09,1.583482e-07,2.407150e-01,4.460388e-01,6.804340e+00,3.130892e+00,2.753755e-01,2.498711e-02,8.189700e-01
1.375000e-03,1.305388e-08,3.489260e-07,3.069787e-01,5.452528e-01,5.873871e+00,2.905145e+00,2.492404e-01,2.701566e-02,7.962841e-01
1.875000e-03,2.433274e-08,5.930816e-07,3.581025e-01,6.242461e-01,3.381080e+00,2.611117e+00,2.460330e-01,4.054389e-02,7.904753e-01
2.375000e-03,4.265508e-08,9.522228e-07,4.146401e-01,6.946338e-01,1.538530e+00,2.256130e+00,2.533870e-01,6.801775e-02,7.870795e-01
2.875000e-03,6.771285e-08,1.390833e-06,4.649301e-01,7.623691e-01,1.026633e+00,2.074896e+00,2.425081e-01,8.464142e-02,7.967222e-01
3.375000e-03,9.825923e-08,1.867625e-06,5.081925e-01,8.317330e-01,1.107410e+00,2.153585e+00,2.429473e-01,8.080986e-02,7.966813e-01
3.875000e-03,1.334373e-07,2.458890e-06,5.391070e-01,8.552059e-01,7.213542e-01,1.824625e+00,2.715478e-01,1.020156e-01,8.209157e-01
4.375000e-03,1.835782e-07,3.164929e-06,5.809800e-01,9.036561e-01,5.393985e-01,1.706061e+00,2.600864e-01,1.100385e-01,8.107527e-01
4.875000e-03,2.230123e-07,3.797071e-06,5.902182e-01,9.261134e-01,9.077215e-01,1.998256e+00,2.455036e-01,8.479513e-02,7.825997e-01
5.375000e-03,2.786523e-07,4.483860e-06,6.167163e-01,9.640755e-01,1.059946e+00,2.094836e+00,2.378603e-01,8.965279e-02,7.714989e-01
5.875000e-03,3.580899e-07,5.521434e-06,6.531615e-01,1.001094e+00,7.764306e-01,1.928159e+00,2.423170e-01,1.028617e-01,7.901503e-01
6.375000e-03,4.168254e-07,6.261533e-06,6.653496e-01,1.023871e+00,9.168430e-01,2.007818e+00,2.410913e-01,8.669441e-02,8.172683e-01
6.875000e-03,4.865206e-07,7.255998e-06,6.776725e-01,1.036286e+00,9.629757e-01,2.020250e+00,2.360018e-01,8.456619e-02,8.348141e-01
7.375000e-03,5.771064e-07,8.382514e-06,6.976303e-01,1.058938e+00,7.509635e-01,1.887604e+00,2.337799e-01,1.089273e-01,8.073343e-01
7.875000e-03,6.434661e-07,9.277624e-06,6.999253e-01,1.069776e+00,1.074137e+00,2.070454e+00,2.296531e-01,9.391543e-02,7.870851e-01
8.375000e-03,7.478838e-07,1.045619e-05,7.216556e-01,1.091749e+00,9.142148e-01,1.959892e+00,2.225013e-01,9.120784e-02,7.979859e-01
8.875000e-03,8.691431e-07,1.187295e-05,7.404606e-01,1.111507e+00,6.861860e-01,1.831107e+00,2.263600e-01,9.736810e-02,8.064621e-01
9.375000e-03,9.652849e-07,1.304491e-05,7.468281e-01,1.117503e+00,6.817835e-01,1.842574e+00,2.132433e-01,9.755204e-02,8.004538e-01
9.875000e-03,1.039660e-06,1.392556e-05,7.463693e-01,1.127366e+00,7.684993e-01,1.909563e+00,1.977203e-01,9.081691e-02,8.045287e-01
1.037500e-02,1.162487e-06,1.560590e-05,7.556298e-01,1.129038e+00,7.854399e-01,1.893421e+00,1.909988e-01,1.056439e-01,8.041903e-01
1.087500e-02,1.310829e-06,1.743933e-05,7.711764e-01,1.135288e+00,7.357229e-01,1.857618e+00,1.957799e-01,1.070146e-01,8.152555e-01
1.137500e-02,1.438444e-06,1.904198e-05,7.768355e-01,1.138097e+00,7.316994e-01,1.868949e+00,1.995456e-01,1.164990e-01,8.081083e-01
1.187500e-02,1.528977e-06,2.007718e-05,7.741831e-01,1.141231e+00,7.261157e-01,1.867973e+00,1.962007e-01,1.107214e-01,8.177570e-01
1.237500e-02,1.662712e-06,2.148911e-05,7.796755e-01,1.148264e+00,7.186656e-01,1.862156e+00,2.025341e-01,1.134369e-01,8.096648e-01
1.287500e-02,1.822453e-06,2.356586e-05,7.881045e-01,1.146063e+00,7.168928e-01,1.895867e+00,2.029698e-01,1.045718e-01,8.046562e-01
1.337500e-02,1.993982e-06,2.563759e-05,7.977221e-01,1.147487e+00,6.623038e-01,1.880741e+00,2.131928e-01,1.061468e-01,8.076494e-01
1.387500e-02,2.135149e-06,2.711182e-05,8.026949e-01,1.152306e+00,5.314378e-01,1.806397e+00,2.111635e-01,1.325963e-01,8.036057e-01
1.437500e-02,2.218963e-06,2.802526e-05,7.947783e-01,1.150695e+00,4.851900e-01,1.752538e+00,2.053814e-01,1.318647e-01,8.149126e-01
1.487500e-02,2.285788e-06,2.914289e-05,7.843443e-01,1.143047e+00,5.346514e-01,1.748389e+00,1.953464e-01,1.461512e-01,8.183774e-01
1.537500e-02,2.316807e-06,2.998099e-05,7.690939e-01,1.130916e+00,5.819813e-01,1.785873e+00,1.989510e-01,1.331788e-01,8.178585e-01
1.587500e-02,2.595786e-06,3.281176e-05,7.915244e-01,1.138169e+00,5.864551e-01,1.789025e+00,2.139296e-01,1.329279e-01,7.791035e-01
1.637500e-02,2.625150e-06,3.339991e-05,7.786279e-01,1.133123e+00,5.630221e-01,1.792651e+00,2.113411e-01,1.658330e-01,7.751972e-01
1.687500e-02,2.678744e-06,3.401245e-05,7.669689e-01,1.126937e+00,6.332034e-01,1.844635e+00,2.104388e-01,1.481322e-01,7.796076e-01
1.737500e-02,2.772879e-06,3.502838e-05,7.587554e-01,1.121262e+00,5.193540e-01,1.797120e+00,2.155090e-01,1.571886e-01,7.591459e-01
1.787500e-02,3.006819e-06,3.836248e-05,7.680617e-01,1.115229e+00,4.810394e-01,1.804177e+00,1.979282e-01,1.596219e-01,7.552936e-01
