# Table of coefficients for aggregates of dendrite monomer crystals with normalized rime mass M = 0.3245 generated with the aggregation code of Jussi Leinonen available at https://github.com/jleinonen/aggregation 
# generated for Maherndl et al. (2023): "A riming-dependent parameterization of scattering by snowflakes using the self-similar Rayleigh–Gans approximation" 
# created by Nina Maherndl (email:nina.maherndl@uni-leipzig.de) on 2023-03-28 14:12:06 
# The following velocity fits were calculated with a power law fit from Heymsfield&Westbrook, 2010 (https://doi.org/10.1175/2010JAS3379.1) relation 
# am=98.6,bm=2.97,av=282.383769236823,bv=0.7287978713574487,aa=0.341,ba=1.97,monomer_alpha=1.0
,Diam_max,Dmax,area,mass,vel_HW,vel_Bohm,kappa,gamma,beta,zeta,alpha_eff,number
1,3.000000e-04,3.662869e-04,6.140000e-08,6.059536e-09,6.050991e-01,6.527798e-01,1.306533e-02,3.667335e+00,4.361256e+00,9.324568e-02,8.594692e-01,3.600000e+01
2,5.000000e-04,5.242627e-04,1.198000e-07,1.749269e-08,9.401949e-01,1.001548e+00,1.346734e-01,3.323563e+00,3.032000e+00,5.856072e-02,8.134606e-01,1.920000e+02
3,7.000000e-04,7.150838e-04,2.240000e-07,4.439747e-08,1.294453e+00,1.328621e+00,1.070352e-01,2.794404e+00,9.511125e-01,1.194199e-01,7.895217e-01,5.850000e+02
4,9.000000e-04,9.070851e-04,3.506000e-07,9.000905e-08,1.638271e+00,1.653482e+00,1.899497e-01,2.918084e+00,1.041122e+00,1.292803e-01,7.538602e-01,1.056000e+03
5,1.100000e-03,1.103609e-03,5.344000e-07,1.630279e-07,1.931390e+00,1.907340e+00,2.148241e-01,3.040150e+00,1.250831e+00,9.893020e-02,7.513233e-01,2.391000e+03
6,1.300000e-03,1.298653e-03,7.128000e-07,2.565693e-07,2.212924e+00,2.183280e+00,2.314070e-01,2.929284e+00,6.514570e-01,1.557624e-01,7.094455e-01,2.026000e+03
7,1.500000e-03,1.495368e-03,9.362000e-07,4.036194e-07,2.520637e+00,2.467622e+00,2.424623e-01,3.092392e+00,7.363323e-01,1.006656e-01,6.804593e-01,1.236000e+03
8,1.700000e-03,1.694408e-03,1.212800e-06,5.949056e-07,2.796214e+00,2.708211e+00,2.452261e-01,3.354581e+00,1.428353e+00,5.569938e-02,7.044634e-01,1.612000e+03
9,1.900000e-03,1.893028e-03,1.490000e-06,8.325260e-07,3.059884e+00,2.933699e+00,2.175879e-01,3.409448e+00,1.969447e+00,6.657568e-02,7.110507e-01,1.131000e+03
10,2.100000e-03,2.098449e-03,1.790800e-06,1.120559e-06,3.299764e+00,3.160491e+00,2.314070e-01,3.595315e+00,2.041305e+00,3.895011e-02,6.871897e-01,8.070000e+02
11,2.300000e-03,2.310163e-03,2.189000e-06,1.476869e-06,3.512566e+00,3.347124e+00,2.396985e-01,3.706994e+00,3.211820e+00,3.486053e-02,7.034985e-01,1.038000e+03
12,2.500000e-03,2.511813e-03,2.653800e-06,1.882696e-06,3.660303e+00,3.457061e+00,2.231156e-01,3.656402e+00,3.258812e+00,3.704267e-02,7.204741e-01,1.134000e+03
13,2.700000e-03,2.701770e-03,3.088000e-06,2.450363e-06,3.950793e+00,3.694734e+00,2.010050e-01,3.956613e+00,7.312381e+00,2.637987e-02,7.330997e-01,1.167000e+03
14,2.900000e-03,2.881560e-03,3.532400e-06,2.967999e-06,4.095486e+00,3.810112e+00,2.203518e-01,3.901155e+00,5.188493e+00,2.415968e-02,7.167891e-01,9.830000e+02
15,3.100000e-03,3.085201e-03,4.130800e-06,3.678263e-06,4.319077e+00,3.948622e+00,2.065327e-01,4.123300e+00,9.389452e+00,1.931319e-02,7.177568e-01,6.450000e+02
16,3.300000e-03,3.292863e-03,4.641600e-06,4.243018e-06,4.397694e+00,4.014567e+00,1.844221e-01,3.949777e+00,7.113606e+00,2.630112e-02,7.083330e-01,6.890000e+02
17,3.500000e-03,3.502350e-03,5.155800e-06,5.063017e-06,4.554565e+00,4.116632e+00,2.065327e-01,4.126405e+00,1.066553e+01,2.187227e-02,7.188024e-01,1.208000e+03
18,3.700000e-03,3.691020e-03,5.806400e-06,6.192648e-06,4.828197e+00,4.296497e+00,1.871859e-01,3.958539e+00,7.213773e+00,2.437690e-02,7.194117e-01,9.630000e+02
19,3.900000e-03,3.879649e-03,6.342400e-06,6.879407e-06,4.864506e+00,4.304713e+00,1.982412e-01,3.763046e+00,5.079572e+00,2.173644e-02,7.387703e-01,5.170000e+02
20,4.100000e-03,4.104956e-03,6.957200e-06,7.685920e-06,4.933031e+00,4.327660e+00,2.010050e-01,3.853670e+00,4.898169e+00,1.986908e-02,6.962327e-01,7.890000e+02
21,4.300000e-03,4.297225e-03,7.623600e-06,8.900428e-06,5.130424e+00,4.408890e+00,1.678392e-01,4.056731e+00,8.900558e+00,1.577761e-02,7.193124e-01,4.400000e+02
22,4.500000e-03,4.502553e-03,8.483400e-06,9.648047e-06,5.083330e+00,4.334978e+00,2.037688e-01,4.176649e+00,1.113257e+01,1.272623e-02,6.989442e-01,3.720000e+02
23,4.700000e-03,4.671112e-03,8.788800e-06,1.073482e-05,5.241398e+00,4.418634e+00,2.037688e-01,4.151254e+00,1.439132e+01,1.429575e-02,7.131224e-01,3.880000e+02
24,4.900000e-03,4.862260e-03,1.019120e-05,1.222473e-05,5.291398e+00,4.372959e+00,1.623116e-01,3.841520e+00,7.499727e+00,3.131345e-02,7.559254e-01,1.310000e+02
25,5.100000e-03,5.102667e-03,1.155080e-05,1.415003e-05,5.439455e+00,4.348393e+00,1.650754e-01,4.209138e+00,1.604006e+01,1.161747e-02,7.662663e-01,1.770000e+02
26,5.300000e-03,5.249528e-03,1.217960e-05,1.655909e-05,5.695988e+00,4.483222e+00,1.871859e-01,4.545616e+00,2.763551e+01,3.856175e-03,7.490899e-01,4.800000e+01
28,5.700000e-03,5.731084e-03,1.429540e-05,1.846967e-05,5.612854e+00,4.372475e+00,1.484925e-01,3.981078e+00,1.110664e+01,2.805358e-02,8.152292e-01,7.800000e+01
29,5.900000e-03,5.908260e-03,1.660140e-05,2.076070e-05,5.725472e+00,4.367916e+00,1.374372e-01,3.071256e+00,1.893613e+00,1.780854e-02,8.458103e-01,7.600000e+01
30,6.100000e-03,6.034811e-03,1.804240e-05,2.458630e-05,6.011476e+00,4.476859e+00,1.678392e-01,2.939840e+00,6.338904e-01,2.561206e-02,7.956039e-01,3.500000e+01
