# Table of coefficients for aggregates of mixcolumndend generated with the aggregation code of Jussi Leinonen available at https://github.com/jleinonen/aggregation 
# author: Leonie von Terzi, email:lterzi@uni-koeln.de
# Particles generated with an inverse exponential PSD of monomers, size parameters varying from 50e-6 to 3.00e-3m,min_size:100e-6m,max_size:3000e-6,grid_res:1e-5,the following velocity fits were calculated with a power law from Boehm relation
# am=0.03951048,bm=2.03603500,av=6.24139264,bv=0.30291349,aa=0.06888,ba=1.81350181,monomer_alpha=1.000
Diam_max,mass,area,vel_Bohm,vel_KC,beta,gamma,kappa,zeta,alpha_eff
1.300000e-03,5.421465e-08,4.225114e-07,8.190014e-01,1.154082e+00,2.041890e+01,3.788788e+00,2.224615e-01,1.498767e-02,7.991834e-01
1.800000e-03,9.436682e-08,6.887655e-07,8.868558e-01,1.276361e+00,2.141272e+01,3.748761e+00,2.266422e-01,1.341977e-02,7.967878e-01
2.300000e-03,1.588563e-07,1.130076e-06,9.645301e-01,1.358455e+00,1.534029e+01,3.463810e+00,2.255496e-01,1.627363e-02,7.950214e-01
2.800000e-03,2.290144e-07,1.616196e-06,9.993980e-01,1.407727e+00,1.084582e+01,3.285201e+00,2.244488e-01,1.912375e-02,7.976963e-01
3.300000e-03,3.195582e-07,2.154525e-06,1.047457e+00,1.471488e+00,1.024192e+01,3.181794e+00,2.155103e-01,2.151866e-02,7.890754e-01
3.800000e-03,4.018736e-07,2.821680e-06,1.047074e+00,1.465055e+00,8.919535e+00,3.065400e+00,2.011313e-01,2.665713e-02,7.890640e-01
4.300000e-03,4.915395e-07,3.474477e-06,1.048951e+00,1.471778e+00,7.764256e+00,3.011841e+00,1.814237e-01,2.978647e-02,7.271507e-01
4.800000e-03,5.600261e-07,4.164085e-06,1.018474e+00,1.443889e+00,3.757165e+00,2.643224e+00,2.108938e-01,4.296680e-02,7.743750e-01
5.300000e-03,6.529580e-07,4.923800e-06,1.010131e+00,1.444231e+00,2.525080e+00,2.363368e+00,2.150210e-01,4.914542e-02,7.797541e-01
5.800000e-03,6.988376e-07,5.814826e-06,9.576865e-01,1.374570e+00,1.895071e+00,2.262155e+00,2.129621e-01,5.903875e-02,7.855003e-01
6.300000e-03,8.335319e-07,6.898136e-06,9.810155e-01,1.390637e+00,1.415881e+00,2.148217e+00,2.119772e-01,7.234822e-02,7.818624e-01
6.800000e-03,8.796044e-07,7.639537e-06,9.374237e-01,1.351800e+00,1.330132e+00,2.089838e+00,2.160398e-01,7.408723e-02,7.749019e-01
7.300000e-03,1.027729e-06,8.809578e-06,9.615187e-01,1.368730e+00,9.043740e-01,1.924454e+00,1.998369e-01,9.847530e-02,8.041102e-01
7.800000e-03,1.205166e-06,1.008926e-05,9.872656e-01,1.396152e+00,8.712709e-01,1.954898e+00,2.060945e-01,9.561673e-02,7.783230e-01
8.300000e-03,1.215725e-06,1.102479e-05,9.373496e-01,1.339179e+00,7.989062e-01,1.918585e+00,2.097386e-01,9.955192e-02,7.837571e-01
8.800000e-03,1.379222e-06,1.307105e-05,9.493419e-01,1.323229e+00,7.550297e-01,1.882927e+00,2.131350e-01,1.066020e-01,8.074241e-01
9.300000e-03,1.521892e-06,1.429313e-05,9.514585e-01,1.330527e+00,7.004499e-01,1.875920e+00,2.213733e-01,1.078082e-01,8.038232e-01
9.800000e-03,1.637306e-06,1.550082e-05,9.473257e-01,1.326065e+00,6.419226e-01,1.855834e+00,2.186685e-01,1.092949e-01,8.003504e-01
1.030000e-02,1.743959e-06,1.674623e-05,9.389745e-01,1.316353e+00,6.313123e-01,1.799105e+00,2.184624e-01,1.113430e-01,7.981306e-01
1.080000e-02,1.876693e-06,1.811178e-05,9.350854e-01,1.311394e+00,5.972524e-01,1.798486e+00,2.054878e-01,1.146491e-01,7.913889e-01
1.130000e-02,2.023729e-06,1.945711e-05,9.309723e-01,1.305059e+00,6.035419e-01,1.796685e+00,2.069471e-01,1.212884e-01,7.902275e-01
1.180000e-02,2.197719e-06,2.061869e-05,9.393563e-01,1.322569e+00,5.918512e-01,1.776779e+00,2.156617e-01,1.255872e-01,7.817796e-01
1.230000e-02,2.242505e-06,2.237348e-05,9.143979e-01,1.286471e+00,5.980827e-01,1.773377e+00,2.182479e-01,1.223549e-01,7.740813e-01
1.280000e-02,2.456618e-06,2.449870e-05,9.242692e-01,1.282229e+00,5.554724e-01,1.773770e+00,2.198782e-01,1.202446e-01,7.682921e-01
1.330000e-02,2.508879e-06,2.523518e-05,9.076186e-01,1.275282e+00,5.519397e-01,1.790663e+00,2.177253e-01,1.231515e-01,7.679654e-01
1.380000e-02,2.624329e-06,2.629989e-05,8.993441e-01,1.269512e+00,5.611522e-01,1.784644e+00,2.205047e-01,1.246411e-01,7.685265e-01
1.430000e-02,3.022929e-06,2.898643e-05,9.328733e-01,1.286557e+00,5.490172e-01,1.779121e+00,2.328429e-01,1.251195e-01,7.695839e-01
1.480000e-02,3.133359e-06,3.058050e-05,9.186985e-01,1.270169e+00,5.278918e-01,1.769580e+00,2.346838e-01,1.295204e-01,7.686220e-01
1.530000e-02,3.498262e-06,3.329244e-05,9.412646e-01,1.278598e+00,5.268023e-01,1.761213e+00,2.250692e-01,1.252393e-01,7.662972e-01
1.580000e-02,3.563540e-06,3.456132e-05,9.250014e-01,1.262551e+00,5.458935e-01,1.792579e+00,2.304266e-01,1.172931e-01,7.484962e-01
