#  Table of coefficients for aggregates of mixcolumnded rimed generated with the aggregation code of Jussi Leinonen available at https://github.com/jleinonen/aggregation 
# created by Leonie von Terzi (email:lterzi@uni-koeln.de) on 2021-01-12 09:47:08 
# Particles generated with an inverse exponential PSD of monomers, size parameters varying from 50e-6 to 2.00e-3m, min_size:100e-6m,max_size=3000e-6m,grid_res:1e-5m,separation_size:1000e-6m 
# The following velocity fits were calculated with a power law fit from Boehm relation 
# am=0.014839115081343055,bm=1.8144024976699116,av=2.893859672192609,bv=0.14092354750003422,aa=0.06350677527187633,ba=1.7739798273816663,monomer_alpha=0.3 
Diam_max,Dmax,area,mass,vel_Bohm,vel_KC,kappa,gamma,beta,zeta,alpha_eff
5.000000e-04,5.214337e-04,1.025000e-07,1.363396e-08,7.604424e-01,9.478557e-01,2.701005e-01,3.182860e+00,1.662784e+00,5.449850e-02,6.732790e-01
1.000000e-03,1.033503e-03,3.133000e-07,5.350466e-08,1.041466e+00,1.341381e+00,2.424623e-01,3.505157e+00,5.105304e+00,4.189954e-02,6.304994e-01
1.500000e-03,1.483876e-03,5.976500e-07,1.124513e-07,1.187222e+00,1.532370e+00,2.175879e-01,3.531608e+00,8.026354e+00,2.572566e-02,6.310278e-01
2.000000e-03,1.981347e-03,1.011400e-06,1.953879e-07,1.275182e+00,1.659444e+00,2.175879e-01,3.456129e+00,8.737528e+00,2.309409e-02,6.144587e-01
2.500000e-03,2.456922e-03,1.510300e-06,2.928724e-07,1.335257e+00,1.747044e+00,2.148241e-01,3.091215e+00,5.918455e+00,2.904909e-02,6.134147e-01
3.000000e-03,2.984475e-03,2.044500e-06,4.159659e-07,1.389283e+00,1.810429e+00,2.092965e-01,2.832455e+00,3.807192e+00,4.152191e-02,6.154402e-01
3.500000e-03,3.528801e-03,2.882600e-06,5.569193e-07,1.394195e+00,1.846979e+00,2.092965e-01,2.504458e+00,1.900368e+00,5.453951e-02,6.296062e-01
4.000000e-03,3.983301e-03,3.603150e-06,7.271494e-07,1.460177e+00,1.916848e+00,2.148241e-01,2.472130e+00,1.793298e+00,6.827326e-02,6.158936e-01
4.500000e-03,4.510043e-03,4.400200e-06,8.977430e-07,1.482768e+00,1.936668e+00,1.816583e-01,2.197126e+00,1.345827e+00,6.946898e-02,6.355343e-01
5.000000e-03,4.991468e-03,5.524700e-06,1.077056e-06,1.470574e+00,1.933321e+00,2.065327e-01,2.185431e+00,1.048662e+00,8.877717e-02,6.011063e-01
5.500000e-03,5.467450e-03,6.259800e-06,1.247393e-06,1.473570e+00,1.927200e+00,1.844221e-01,2.133971e+00,1.039179e+00,9.710737e-02,6.243202e-01
6.000000e-03,5.977694e-03,7.186500e-06,1.408897e-06,1.449868e+00,1.951913e+00,1.788945e-01,2.104896e+00,9.403458e-01,1.004821e-01,6.017496e-01
6.500000e-03,6.444065e-03,8.270500e-06,1.580198e-06,1.437721e+00,1.842944e+00,2.065327e-01,1.934088e+00,7.313290e-01,1.096146e-01,6.138384e-01
7.000000e-03,7.002228e-03,9.785300e-06,1.819821e-06,1.420319e+00,1.812559e+00,2.092965e-01,2.090652e+00,9.471110e-01,9.386985e-02,6.005840e-01
7.500000e-03,7.519572e-03,1.154960e-05,2.250914e-06,1.495468e+00,1.917801e+00,1.871859e-01,1.882167e+00,5.294545e-01,1.314426e-01,6.381299e-01
8.000000e-03,8.030271e-03,1.274630e-05,2.279204e-06,1.412609e+00,1.801027e+00,1.982412e-01,1.854261e+00,6.336041e-01,1.122083e-01,6.278162e-01
8.500000e-03,8.539337e-03,1.419090e-05,2.455931e-06,1.407666e+00,1.773491e+00,2.065327e-01,1.909423e+00,7.018396e-01,9.831671e-02,6.099935e-01
9.000000e-03,8.966826e-03,1.511785e-05,2.789857e-06,1.411098e+00,1.791884e+00,2.065327e-01,1.836472e+00,6.251226e-01,1.379461e-01,6.047895e-01
9.500000e-03,9.556647e-03,1.675495e-05,3.398783e-06,1.494085e+00,1.827375e+00,1.899497e-01,1.858410e+00,6.049447e-01,1.212480e-01,6.085526e-01
9.975000e-03,9.995292e-03,1.891080e-05,3.433645e-06,1.434642e+00,1.740027e+00,2.092965e-01,1.904736e+00,5.802444e-01,1.288988e-01,5.771026e-01
1.050000e-02,1.047312e-02,1.972925e-05,3.371161e-06,1.375385e+00,1.729843e+00,1.678392e-01,1.705204e+00,4.225160e-01,1.457474e-01,5.779246e-01
1.100000e-02,1.093169e-02,2.094980e-05,4.131924e-06,1.451543e+00,1.818293e+00,2.065327e-01,1.644730e+00,3.909512e-01,1.520528e-01,5.937430e-01
