# Table of coefficients for aggregates of mixcolumnded rimed generated with the aggregation code of Jussi Leinonen available at https://github.com/jleinonen/aggregation
# created by Leonie von Terzi (email:lterzi@uni-koeln.de) on 2020-12-18 10:34:04 
# Particles generated with an inverse exponential PSD of monomers, size parameters varying from 50e-6 to 2.00e-3m, min_size:100e-6m,max_size=3000e-6m,grid_res:1e-5m,separation_size:1000e-6m
# The following velocity fits were calculated with a power law fit from Boehm relation
# am=0.02556770075314806,bm=1.8408777347972316,av=3.876166961988341,bv=0.15239720845751945,aa=0.06051173510732779,ba=1.748152449761455,monomer_alpha=0.3,
Diam_max,Dmax,area,mass,vel_Bohm,vel_KC,kappa,gamma,beta,zeta,alpha_eff
2.000000e-03,1.904255e-03,9.953000e-07,2.391197e-07,1.526091e+00,1.889381e+00,2.369347e-01,3.499906e+00,6.864364e+00,2.686726e-02,6.101520e-01
3.000000e-03,3.005041e-03,2.418800e-06,6.211758e-07,1.702521e+00,2.092619e+00,2.092965e-01,2.918819e+00,3.348307e+00,4.252964e-02,6.195728e-01
4.000000e-03,3.991034e-03,4.101300e-06,1.143383e-06,1.832345e+00,2.214408e+00,2.065327e-01,2.775460e+00,2.979791e+00,4.520353e-02,6.227457e-01
5.000000e-03,5.026133e-03,5.893900e-06,1.643131e-06,1.853866e+00,2.264689e+00,1.927136e-01,2.416168e+00,1.579677e+00,5.612494e-02,6.264006e-01
6.000000e-03,6.036755e-03,8.413850e-06,2.213218e-06,1.815994e+00,2.240710e+00,1.927136e-01,2.078040e+00,9.574773e-01,1.058482e-01,6.259704e-01
7.000000e-03,6.934911e-03,1.050510e-05,2.717974e-06,1.798896e+00,2.159145e+00,2.010050e-01,2.059363e+00,8.528832e-01,8.315642e-02,6.065560e-01
8.000000e-03,7.922786e-03,1.286130e-05,3.162973e-06,1.736844e+00,2.134255e+00,1.927136e-01,1.850312e+00,5.977944e-01,1.259730e-01,5.799442e-01
9.000000e-03,9.019654e-03,1.606060e-05,4.200576e-06,1.776675e+00,2.108498e+00,2.065327e-01,2.113064e+00,9.418202e-01,9.752732e-02,5.992472e-01
1.000000e-02,9.891251e-03,1.871045e-05,4.476957e-06,1.667989e+00,2.062680e+00,2.065327e-01,1.957226e+00,7.106237e-01,9.986916e-02,5.461961e-01
1.100000e-02,1.109750e-02,1.981400e-05,4.832713e-06,1.602677e+00,1.962782e+00,2.120603e-01,2.065343e+00,9.951489e-01,8.792357e-02,5.263840e-01
1.200000e-02,1.170640e-02,2.393510e-05,5.504286e-06,1.607377e+00,1.947346e+00,2.065327e-01,2.059744e+00,1.337139e+00,7.098735e-02,5.639142e-01
1.300000e-02,1.300447e-02,2.871000e-05,7.140174e-06,1.583778e+00,1.842418e+00,1.982412e-01,1.959645e+00,7.019844e-01,1.121209e-01,4.851231e-01
1.400000e-02,1.438870e-02,2.541740e-05,5.086931e-06,1.308620e+00,1.778043e+00,1.540201e-01,1.770072e+00,3.299663e-01,1.521234e-02,4.156040e-01
1.500000e-02,1.514276e-02,2.667215e-05,6.999180e-06,1.470021e+00,1.986716e+00,2.535176e-01,2.288865e+00,3.651756e+00,7.470479e-02,4.285067e-01
