#  Table of coefficients for aggregates of mixcolumnded rimed generated with the aggregation code of Jussi Leinonen available at https://github.com/jleinonen/aggregation 
# created by Leonie von Terzi (email:lterzi@uni-koeln.de) on 2020-12-23 14:52:40 
# Particles generated with an inverse exponential PSD of monomers, size parameters varying from 50e-6 to 2.00e-3m, min_size:100e-6m,max_size=3000e-6m,grid_res:1e-5m,separation_size:1000e-6m 
# The following velocity fits were calculated with a power law fit from Boehm relation
# am=0.074397414672697,bm=1.9028376171615733,av=5.845805894349944,bv=0.15355517875494432,aa=0.06836341789713271,ba=1.7395182096797188,monomer_alpha=0.3
Diam_max,Dmax,area,mass,vel_Bohm,vel_KC,kappa,gamma,beta,zeta,alpha_eff
5.000000e-04,6.284238e-04,1.738000e-07,4.764732e-08,1.462751e+00,1.544158e+00,2.673367e-01,2.965657e+00,3.691943e-01,7.128506e-02,7.695784e-01
1.000000e-03,1.049984e-03,4.417000e-07,1.457379e-07,1.887881e+00,2.028917e+00,2.756281e-01,3.542182e+00,1.375669e+00,4.693352e-02,6.798057e-01
1.500000e-03,1.529222e-03,8.518000e-07,3.234442e-07,2.184095e+00,2.345798e+00,2.590452e-01,3.758737e+00,3.838432e+00,3.422426e-02,6.581194e-01
2.000000e-03,1.999421e-03,1.335750e-06,5.358792e-07,2.303128e+00,2.522663e+00,2.507538e-01,3.873762e+00,7.247411e+00,2.389541e-02,6.233113e-01
2.500000e-03,2.507019e-03,2.020450e-06,8.572950e-07,2.439635e+00,2.670366e+00,2.286432e-01,3.750191e+00,8.891259e+00,2.326566e-02,6.290686e-01
3.000000e-03,3.005962e-03,2.828700e-06,1.237201e-06,2.512222e+00,2.775625e+00,2.120603e-01,3.614154e+00,8.987477e+00,2.361528e-02,6.547270e-01
3.500000e-03,3.516440e-03,3.827000e-06,1.744312e-06,2.610029e+00,2.836319e+00,2.092965e-01,3.423901e+00,8.105297e+00,2.426210e-02,6.468886e-01
4.000000e-03,3.989420e-03,4.803100e-06,2.201170e-06,2.632179e+00,2.882556e+00,2.120603e-01,3.210284e+00,5.621856e+00,2.819315e-02,6.371914e-01
4.500000e-03,4.478656e-03,5.919000e-06,2.684506e-06,2.624500e+00,2.905635e+00,2.258794e-01,3.098831e+00,4.245037e+00,3.384327e-02,6.203657e-01
5.000000e-03,5.014091e-03,6.867000e-06,3.301513e-06,2.661549e+00,2.945934e+00,1.982412e-01,2.894804e+00,3.044113e+00,4.220879e-02,6.300121e-01
5.500000e-03,5.512868e-03,8.107100e-06,3.865221e-06,2.626369e+00,2.918819e+00,2.148241e-01,2.717762e+00,2.471160e+00,4.913552e-02,6.045976e-01
6.000000e-03,5.999302e-03,9.732850e-06,4.337032e-06,2.595146e+00,2.878169e+00,2.203518e-01,2.478095e+00,1.633620e+00,5.386936e-02,6.010872e-01
6.500000e-03,6.504829e-03,1.058240e-05,4.845787e-06,2.543671e+00,2.856987e+00,2.231156e-01,2.475364e+00,1.653283e+00,5.703281e-02,5.873361e-01
7.000000e-03,7.003949e-03,1.273640e-05,5.615237e-06,2.583784e+00,2.790588e+00,2.175879e-01,2.453471e+00,1.872012e+00,5.329357e-02,5.821764e-01
7.500000e-03,7.436839e-03,1.384070e-05,6.137051e-06,2.548774e+00,2.764208e+00,2.120603e-01,2.366858e+00,1.499731e+00,7.865216e-02,6.005463e-01
8.000000e-03,8.028757e-03,1.399405e-05,6.118467e-06,2.416895e+00,2.783526e+00,2.065327e-01,2.358522e+00,1.441604e+00,6.368160e-02,5.726337e-01
8.500000e-03,8.377887e-03,1.610215e-05,7.351022e-06,2.492926e+00,2.777149e+00,2.092965e-01,1.695903e+00,5.427080e-01,1.066799e-01,6.490015e-01
9.000000e-03,8.959043e-03,1.675760e-05,7.735825e-06,2.402594e+00,2.717518e+00,2.258794e-01,2.412446e+00,1.353939e+00,7.261665e-02,5.882777e-01
9.500000e-03,9.548094e-03,1.764560e-05,7.523217e-06,2.309467e+00,2.710699e+00,1.982412e-01,1.613875e+00,2.476661e-01,2.160599e-01,5.164584e-01
9.975000e-03,9.985275e-03,1.947370e-05,9.424240e-06,2.379391e+00,2.794627e+00,1.954774e-01,1.971578e+00,8.861998e-01,3.490719e-02,6.060479e-01
1.050000e-02,1.046875e-02,2.352980e-05,1.074011e-05,2.404051e+00,2.627073e+00,1.263819e-01,1.999607e+00,5.824473e-01,9.547509e-02,6.041339e-01
1.100000e-02,1.103719e-02,2.088295e-05,9.165653e-06,2.190733e+00,2.586626e+00,3.143216e-01,2.499065e+00,1.529167e+00,4.666993e-02,5.831543e-01
