# Table of coefficients for aggregates of mixed monomer crystals with normalized rime mass M = 0.5145 generated with the aggregation code of Jussi Leinonen available at https://github.com/jleinonen/aggregation 
# generated for Maherndl et al. (2023): "A riming-dependent parameterization of scattering by snowflakes using the self-similar Rayleigh–Gans approximation" 
# created by Nina Maherndl (email:nina.maherndl@uni-leipzig.de) on 2023-03-28 14:12:07 
# The following velocity fits were calculated with a power law fit from Heymsfield&Westbrook, 2010 (https://doi.org/10.1175/2010JAS3379.1) relation 
# am=157.0,bm=2.97,av=347.1536929384185,bv=0.7219041410943873,aa=0.421,ba=1.98,monomer_alpha=1.0
,Diam_max,Dmax,area,mass,vel_HW,vel_Bohm,kappa,gamma,beta,zeta,alpha_eff,number
1,3.000000e-04,3.700133e-04,6.680000e-08,1.046114e-08,8.851214e-01,9.242239e-01,4.623116e-02,3.329616e+00,1.564081e+00,7.377063e-02,8.463679e-01,7.430000e+02
2,5.000000e-04,5.534054e-04,1.452000e-07,3.289462e-08,1.332241e+00,1.342634e+00,1.871859e-01,3.129701e+00,9.899401e-01,9.492755e-02,8.195837e-01,1.190400e+04
3,7.000000e-04,7.065127e-04,2.356000e-07,6.723444e-08,1.684376e+00,1.663361e+00,1.982412e-01,2.953263e+00,6.571175e-01,1.183253e-01,8.133777e-01,3.420200e+04
4,9.000000e-04,8.823198e-04,3.688000e-07,1.266047e-07,2.009880e+00,1.957289e+00,1.927136e-01,2.895078e+00,5.980278e-01,1.499725e-01,7.975685e-01,2.256500e+04
5,1.100000e-03,1.102477e-03,5.720000e-07,2.583996e-07,2.531348e+00,2.416166e+00,1.927136e-01,2.967060e+00,6.268138e-01,1.356817e-01,7.937147e-01,1.740000e+04
6,1.300000e-03,1.301714e-03,7.972000e-07,4.321858e-07,2.926497e+00,2.758246e+00,2.092965e-01,3.090637e+00,7.227272e-01,1.103323e-01,7.906000e-01,1.828500e+04
7,1.500000e-03,1.500250e-03,1.054000e-06,6.647150e-07,3.275626e+00,3.064048e+00,2.231156e-01,3.324038e+00,9.610773e-01,7.723057e-02,7.858344e-01,1.815100e+04
8,1.700000e-03,1.697476e-03,1.345200e-06,9.653662e-07,3.601138e+00,3.345119e+00,2.286432e-01,3.455547e+00,1.077164e+00,6.047510e-02,7.745136e-01,1.633200e+04
9,1.900000e-03,1.895034e-03,1.687200e-06,1.352278e-06,3.904648e+00,3.597242e+00,2.314070e-01,3.619783e+00,1.417496e+00,4.959211e-02,7.663255e-01,1.420600e+04
10,2.100000e-03,2.095778e-03,2.061600e-06,1.812443e-06,4.172464e+00,3.821262e+00,2.314070e-01,3.822509e+00,2.160940e+00,3.621817e-02,7.633383e-01,1.075400e+04
11,2.300000e-03,2.287608e-03,2.473200e-06,2.342253e-06,4.402321e+00,4.014363e+00,2.314070e-01,3.921376e+00,2.834245e+00,2.992587e-02,7.655632e-01,8.703000e+03
12,2.500000e-03,2.491102e-03,2.909800e-06,2.895772e-06,4.568419e+00,4.151651e+00,2.231156e-01,3.947219e+00,3.240725e+00,2.699063e-02,7.679570e-01,5.990000e+03
13,2.700000e-03,2.698428e-03,3.417200e-06,3.515044e-06,4.706726e+00,4.252842e+00,2.175879e-01,3.895980e+00,3.080059e+00,2.572794e-02,7.709802e-01,4.617000e+03
14,2.900000e-03,2.891781e-03,3.966600e-06,4.271720e-06,4.874639e+00,4.349108e+00,2.092965e-01,4.003387e+00,4.823958e+00,2.213178e-02,7.901537e-01,4.110000e+03
15,3.100000e-03,3.109571e-03,4.540800e-06,5.052171e-06,4.986094e+00,4.419612e+00,2.065327e-01,3.937001e+00,4.208568e+00,2.363244e-02,7.839551e-01,3.357000e+03
16,3.300000e-03,3.282094e-03,5.053200e-06,5.909614e-06,5.140854e+00,4.504874e+00,2.148241e-01,4.041255e+00,5.769808e+00,2.297921e-02,7.819363e-01,2.788000e+03
17,3.500000e-03,3.490011e-03,5.796400e-06,6.958152e-06,5.273115e+00,4.543351e+00,1.954774e-01,4.097015e+00,7.730619e+00,1.823420e-02,7.846167e-01,1.429000e+03
18,3.700000e-03,3.673672e-03,6.542400e-06,8.054048e-06,5.404430e+00,4.587317e+00,1.844221e-01,4.003616e+00,7.557306e+00,2.241441e-02,8.019967e-01,9.650000e+02
19,3.900000e-03,3.894549e-03,7.461400e-06,9.517213e-06,5.568430e+00,4.632795e+00,1.761307e-01,3.783774e+00,4.550014e+00,2.775529e-02,8.043252e-01,6.880000e+02
20,4.100000e-03,4.074042e-03,8.140000e-06,1.060141e-05,5.640514e+00,4.637732e+00,1.650754e-01,3.649179e+00,3.781462e+00,1.799899e-02,8.332746e-01,3.090000e+02
21,4.300000e-03,4.245324e-03,9.163600e-06,1.237175e-05,5.798495e+00,4.661842e+00,1.484925e-01,4.012938e+00,8.520229e+00,1.608684e-02,8.273287e-01,1.350000e+02
