# Table of coefficients for aggregates of needle generated with the aggregation code of Jussi Leinonen available at https://github.com/jleinonen/aggregation 
# author: Leonie von Terzi, email:lterzi@uni-koeln.de
# Particles generated with an inverse exponential PSD of monomers, size parameters varying from 50e-6 to 9.32e-3m,min_size:100e-6m,max_size:3000e-6,grid_res:1e-5,the following velocity fits were calculated with a power law from Boehm relation
# am=0.01621876,bm=2.01628354,av=4.61161240,bv=0.32977629,aa=0.02852,ba=1.74868548,monomer_alpha=12.335
Diam_max,mass,area,vel_Bohm,vel_KC,beta,gamma,kappa,zeta,alpha_eff
1.025000e-03,1.794255e-08,2.179323e-07,4.965241e-01,8.246208e-01,3.386514e+01,3.921829e+00,2.609496e-01,1.150244e-02,7.725134e-01
1.525000e-03,3.510339e-08,3.904934e-07,5.691841e-01,9.603901e-01,2.997118e+01,3.713330e+00,2.538729e-01,1.232475e-02,7.650862e-01
2.025000e-03,5.991739e-08,6.095188e-07,6.231520e-01,1.075739e+00,2.080844e+01,3.410110e+00,2.468785e-01,1.396472e-02,7.619225e-01
2.525000e-03,9.762142e-08,8.974111e-07,6.871804e-01,1.193271e+00,1.507046e+01,3.191726e+00,2.684830e-01,1.579306e-02,7.543522e-01
3.025000e-03,1.360197e-07,1.170572e-06,7.241718e-01,1.275141e+00,9.480677e+00,2.918344e+00,2.604240e-01,2.298629e-02,7.568918e-01
3.525000e-03,1.862431e-07,1.523808e-06,7.615991e-01,1.342895e+00,1.079499e+01,2.894015e+00,2.473030e-01,2.096033e-02,7.818162e-01
4.025000e-03,2.478868e-07,1.925890e-06,7.969356e-01,1.404060e+00,7.071312e+00,2.704220e+00,2.520652e-01,2.901361e-02,7.743028e-01
4.525000e-03,3.172567e-07,2.344521e-06,8.278901e-01,1.464717e+00,5.775104e+00,2.590897e+00,2.456679e-01,3.428996e-02,7.800732e-01
5.025000e-03,3.829203e-07,2.750386e-06,8.435987e-01,1.502442e+00,5.295286e+00,2.470268e+00,2.594501e-01,4.626811e-02,7.879749e-01
5.525000e-03,4.731644e-07,3.244280e-06,8.745043e-01,1.554139e+00,4.292357e+00,2.399005e+00,2.598607e-01,4.100340e-02,7.942056e-01
6.025000e-03,5.899700e-07,3.938171e-06,9.074619e-01,1.579635e+00,3.412382e+00,2.323755e+00,2.528199e-01,4.610345e-02,8.092797e-01
6.525000e-03,6.765877e-07,4.477000e-06,9.149083e-01,1.598951e+00,2.953842e+00,2.261548e+00,2.364550e-01,4.974642e-02,7.989877e-01
7.025000e-03,7.755500e-07,5.052735e-06,9.247707e-01,1.616689e+00,1.867604e+00,2.006007e+00,2.367785e-01,6.287010e-02,7.863047e-01
7.525000e-03,8.725944e-07,5.563222e-06,9.312142e-01,1.636252e+00,1.171996e+00,1.857458e+00,2.458104e-01,7.573384e-02,7.899274e-01
8.025000e-03,1.044200e-06,6.528346e-06,9.639763e-01,1.653561e+00,8.553560e-01,1.717799e+00,2.174996e-01,8.754250e-02,8.147995e-01
8.525000e-03,1.182868e-06,7.279500e-06,9.756238e-01,1.662653e+00,9.180183e-01,1.729024e+00,2.232507e-01,1.200755e-01,8.449059e-01
9.025000e-03,1.271878e-06,7.818110e-06,9.694867e-01,1.661989e+00,7.802155e-01,1.705172e+00,2.574786e-01,1.294884e-01,8.684445e-01
9.525000e-03,1.426107e-06,8.696092e-06,9.816256e-01,1.663773e+00,7.515023e-01,1.683070e+00,2.500006e-01,1.027893e-01,8.414325e-01
1.002500e-02,1.564202e-06,9.426511e-06,9.844580e-01,1.663729e+00,7.044039e-01,1.666514e+00,2.413830e-01,1.139864e-01,8.187732e-01
1.052500e-02,1.709648e-06,1.024985e-05,9.881623e-01,1.659164e+00,6.551299e-01,1.646594e+00,2.466924e-01,1.253771e-01,8.009400e-01
1.102500e-02,1.787446e-06,1.077974e-05,9.765490e-01,1.646832e+00,5.912520e-01,1.635194e+00,2.476721e-01,1.375308e-01,7.555259e-01
1.152500e-02,1.930521e-06,1.149662e-05,9.761755e-01,1.646284e+00,6.149124e-01,1.664192e+00,2.561366e-01,1.360141e-01,7.501335e-01
1.202500e-02,2.022666e-06,1.208022e-05,9.667074e-01,1.634088e+00,nan,nan,nan,nan,nan
1.252500e-02,2.132711e-06,1.275314e-05,9.525309e-01,1.619909e+00,6.222426e-01,1.649604e+00,2.736197e-01,1.337480e-01,7.239472e-01
1.302500e-02,2.322363e-06,1.424189e-05,9.593609e-01,1.596057e+00,6.047208e-01,1.633528e+00,2.629304e-01,1.416206e-01,7.275868e-01
1.352500e-02,2.229408e-06,1.348080e-05,9.222588e-01,1.595001e+00,7.185011e-01,1.696366e+00,2.605656e-01,1.449675e-01,6.951274e-01
