# Table of coefficients for aggregates of needle monomer crystals with normalized rime mass M = 0.0514 generated with the aggregation code of Jussi Leinonen available at https://github.com/jleinonen/aggregation 
# generated for Maherndl et al. (2023): "A riming-dependent parameterization of scattering by snowflakes using the self-similar Rayleigh–Gans approximation" 
# created by Nina Maherndl (email:nina.maherndl@uni-leipzig.de) on 2023-03-28 14:12:06 
# The following velocity fits were calculated with a power law fit from Heymsfield&Westbrook, 2010 (https://doi.org/10.1175/2010JAS3379.1) relation 
# am=3.01,bm=2.64,av=85.97841887106833,bv=0.6560822499916242,aa=0.154,ba=1.92,monomer_alpha=1.0
,Diam_max,Dmax,area,mass,vel_HW,vel_Bohm,kappa,gamma,beta,zeta,alpha_eff,number
1,3.000000e-04,3.688430e-04,4.320000e-08,3.301200e-09,4.401432e-01,5.451790e-01,1.844221e-01,3.881633e+00,9.665672e+00,4.686884e-02,7.016802e-01,1.570000e+02
2,5.000000e-04,5.334115e-04,7.840000e-08,6.888504e-09,5.618747e-01,7.087995e-01,2.065327e-01,3.666435e+00,5.978555e+00,5.389804e-02,6.167016e-01,2.004000e+03
3,7.000000e-04,7.121798e-04,1.416000e-07,1.513784e-08,7.301067e-01,8.970453e-01,2.424623e-01,3.643553e+00,9.238205e+00,3.063588e-02,6.339159e-01,4.544000e+03
4,9.000000e-04,9.053587e-04,2.244000e-07,2.767139e-08,8.758725e-01,1.048189e+00,2.286432e-01,3.432881e+00,6.328293e+00,3.447538e-02,6.361209e-01,9.648000e+03
5,1.100000e-03,1.081587e-03,3.016000e-07,4.100824e-08,9.667687e-01,1.161162e+00,2.424623e-01,3.612469e+00,1.017076e+01,2.562091e-02,5.950294e-01,6.312000e+03
6,1.300000e-03,1.257403e-03,3.744000e-07,5.807178e-08,1.073294e+00,1.306680e+00,2.562814e-01,3.370651e+00,6.381783e+00,3.160257e-02,5.746309e-01,1.915000e+03
7,1.500000e-03,1.498220e-03,4.836000e-07,8.832544e-08,1.208385e+00,1.465835e+00,2.396985e-01,3.486445e+00,6.425394e+00,2.733351e-02,5.277152e-01,6.750000e+02
8,1.700000e-03,1.655329e-03,5.972000e-07,1.201453e-07,1.319942e+00,1.593993e+00,2.922111e-01,3.451381e+00,7.661065e+00,2.760226e-02,5.100158e-01,6.460000e+02
9,1.900000e-03,1.864565e-03,7.808000e-07,1.712149e-07,1.426004e+00,1.679548e+00,1.844221e-01,3.251413e+00,4.761198e+00,4.992449e-02,5.683635e-01,3.130000e+02
10,2.100000e-03,2.097581e-03,1.070000e-06,2.411490e-07,1.550080e+00,1.778492e+00,1.761307e-01,3.122096e+00,4.435617e+00,4.172439e-02,5.880311e-01,2.570000e+02
11,2.300000e-03,2.261897e-03,1.284200e-06,3.063844e-07,1.628322e+00,1.849803e+00,1.982412e-01,3.222511e+00,6.313692e+00,3.947499e-02,6.118458e-01,2.380000e+02
12,2.500000e-03,2.476993e-03,1.600800e-06,3.974058e-07,1.723663e+00,1.937645e+00,2.175879e-01,3.192873e+00,6.400073e+00,3.393028e-02,6.224728e-01,1.770000e+02
13,2.700000e-03,2.662802e-03,1.834800e-06,4.843667e-07,1.796274e+00,2.004108e+00,2.314070e-01,3.045525e+00,3.991615e+00,4.666094e-02,6.015240e-01,3.550000e+02
14,2.900000e-03,2.897046e-03,2.063200e-06,5.985149e-07,1.904238e+00,2.105577e+00,1.871859e-01,2.927350e+00,2.871696e+00,6.215023e-02,6.051221e-01,2.690000e+02
15,3.100000e-03,3.126421e-03,2.593200e-06,7.430194e-07,1.982771e+00,2.155533e+00,1.650754e-01,2.900825e+00,2.883192e+00,5.793786e-02,6.086478e-01,2.310000e+02
16,3.300000e-03,3.284756e-03,2.877600e-06,8.784750e-07,2.055824e+00,2.238191e+00,2.314070e-01,2.928085e+00,2.906064e+00,2.945302e-02,6.027485e-01,2.040000e+02
17,3.500000e-03,3.500813e-03,3.247200e-06,1.026945e-06,2.133093e+00,2.309915e+00,1.706030e-01,3.044984e+00,3.694520e+00,2.857648e-02,6.158237e-01,1.970000e+02
18,3.700000e-03,3.659800e-03,3.461800e-06,1.169296e-06,2.189296e+00,2.382757e+00,2.258794e-01,2.926370e+00,2.637261e+00,4.415962e-02,5.486126e-01,1.860000e+02
19,3.900000e-03,3.925437e-03,3.972400e-06,1.390275e-06,2.257958e+00,2.422245e+00,2.010050e-01,2.838931e+00,2.323435e+00,3.321662e-02,5.884857e-01,2.380000e+02
20,4.100000e-03,4.132826e-03,3.903200e-06,1.537464e-06,2.345848e+00,2.622767e+00,2.811558e-01,3.064176e+00,2.475586e+00,2.313414e-02,5.244995e-01,1.670000e+02
21,4.300000e-03,4.284561e-03,4.322000e-06,1.786749e-06,2.446699e+00,2.646270e+00,2.175879e-01,3.298561e+00,6.439027e+00,1.805587e-02,5.330354e-01,1.470000e+02
