# Table of coefficients for aggregates of plate generated with the aggregation code of Jussi Leinonen available at https://github.com/jleinonen/aggregation 
# author: Leonie von Terzi, email:lterzi@uni-koeln.de
# Particles generated with an inverse exponential PSD of monomers, size parameters varying from 50e-6 to 9.32e-3m,min_size:100e-6m,max_size:3000e-6,grid_res:1e-5,the following velocity fits were calculated with a power law from Boehm relation
# am=0.04067016,bm=2.05353732,av=3.24587728,bv=0.20136458,aa=0.12579,ba=1.88096800,monomer_alpha=0.061
Diam_max,mass,area,vel_Bohm,vel_KC,beta,gamma,kappa,zeta,alpha_eff
8.750000e-04,7.573890e-09,1.383516e-07,3.823745e-01,5.537782e-01,1.251298e+01,3.559173e+00,1.819268e-01,2.179936e-02,8.115477e-01
1.375000e-03,2.313125e-08,3.531096e-07,5.151135e-01,7.382496e-01,8.260267e+00,3.198344e+00,1.907803e-01,2.871083e-02,8.015377e-01
1.875000e-03,4.901154e-08,6.691117e-07,6.183745e-01,8.642381e-01,4.202725e+00,2.879748e+00,1.849704e-01,4.448605e-02,7.898970e-01
2.375000e-03,9.322902e-08,1.128898e-06,7.258797e-01,9.845531e-01,2.761950e+00,2.664961e+00,1.966965e-01,5.454339e-02,8.032801e-01
2.875000e-03,1.593153e-07,1.781460e-06,8.215053e-01,1.075451e+00,2.231016e+00,2.584397e+00,2.142287e-01,5.488159e-02,8.140525e-01
3.375000e-03,2.303996e-07,2.371315e-06,8.792301e-01,1.156149e+00,2.598831e+00,2.620278e+00,1.905182e-01,6.539736e-02,8.154292e-01
3.875000e-03,3.218008e-07,3.150152e-06,9.338615e-01,1.216324e+00,1.062474e+00,2.305860e+00,1.797483e-01,9.518238e-02,8.208517e-01
4.375000e-03,4.403243e-07,4.063299e-06,9.904078e-01,1.275451e+00,1.398254e+00,2.271381e+00,1.929288e-01,7.712308e-02,8.143455e-01
4.875000e-03,5.907193e-07,5.184155e-06,1.049614e+00,1.326630e+00,1.304082e+00,2.221873e+00,1.918594e-01,9.159706e-02,8.567994e-01
5.375000e-03,7.605965e-07,6.441809e-06,1.099072e+00,1.370621e+00,1.695796e+00,2.310806e+00,1.974173e-01,7.337611e-02,8.423808e-01
5.875000e-03,9.425449e-07,7.626403e-06,1.140762e+00,1.418921e+00,1.758490e+00,2.253155e+00,2.086256e-01,5.661985e-02,8.064092e-01
6.375000e-03,1.139344e-06,8.978709e-06,1.172318e+00,1.449658e+00,1.433970e+00,2.174621e+00,2.249670e-01,7.395852e-02,7.912932e-01
6.875000e-03,1.361750e-06,1.035008e-05,1.203087e+00,1.488332e+00,8.080041e-01,2.019868e+00,2.170803e-01,1.053466e-01,8.028786e-01
7.375000e-03,1.596227e-06,1.167464e-05,1.231944e+00,1.525780e+00,9.124528e-01,2.038500e+00,2.099542e-01,8.001254e-02,7.918480e-01
7.875000e-03,1.865134e-06,1.346105e-05,1.256452e+00,1.536106e+00,1.241984e+00,2.110585e+00,1.716181e-01,6.902056e-02,7.879351e-01
8.375000e-03,2.135297e-06,1.517725e-05,1.274931e+00,1.552424e+00,8.447981e-01,2.058433e+00,1.848484e-01,1.097454e-01,7.701863e-01
8.875000e-03,2.498279e-06,1.713668e-05,1.312893e+00,1.579657e+00,9.669977e-01,2.127737e+00,1.821793e-01,1.069596e-01,7.827986e-01
9.375000e-03,2.735608e-06,1.902027e-05,1.306202e+00,1.564451e+00,1.258295e+00,2.303133e+00,1.680584e-01,9.092637e-02,7.839771e-01
9.875000e-03,3.001885e-06,2.023171e-05,1.311941e+00,1.583711e+00,6.040932e-01,1.994443e+00,1.602874e-01,1.353423e-01,7.873488e-01
1.037500e-02,3.415042e-06,2.271129e-05,1.333686e+00,1.585391e+00,1.226384e+00,2.303027e+00,1.526853e-01,7.914308e-02,7.992013e-01
1.087500e-02,3.873534e-06,2.499905e-05,1.362251e+00,1.601959e+00,8.072722e-01,2.043213e+00,1.613137e-01,1.111799e-01,8.220313e-01
1.137500e-02,4.250784e-06,2.753884e-05,1.367216e+00,1.591941e+00,6.373176e-01,1.982388e+00,1.608025e-01,1.316061e-01,8.209248e-01
1.187500e-02,4.643224e-06,2.939831e-05,1.376072e+00,1.599273e+00,6.648517e-01,1.976766e+00,1.679718e-01,1.316838e-01,8.233105e-01
1.237500e-02,5.030822e-06,3.133164e-05,1.378025e+00,1.599400e+00,7.526828e-01,2.064367e+00,1.638482e-01,1.305012e-01,8.150060e-01
1.287500e-02,5.573966e-06,3.424150e-05,1.392120e+00,1.597043e+00,9.944054e-01,2.157374e+00,1.754179e-01,1.104053e-01,8.126748e-01
1.337500e-02,6.084074e-06,3.702937e-05,1.402335e+00,1.593830e+00,8.019758e-01,2.073948e+00,1.823033e-01,1.164512e-01,8.095016e-01
1.387500e-02,6.321399e-06,3.850280e-05,1.385864e+00,1.584084e+00,7.486618e-01,2.029480e+00,1.858252e-01,1.245283e-01,8.235601e-01
1.437500e-02,6.691043e-06,4.148624e-05,1.375474e+00,1.563749e+00,7.629257e-01,2.038874e+00,1.916865e-01,1.164244e-01,7.827114e-01
1.487500e-02,7.129845e-06,4.425085e-05,1.373372e+00,1.553296e+00,7.428337e-01,2.046297e+00,1.993318e-01,1.151447e-01,7.374870e-01
