# Table of coefficients for aggregates of plate monomer crystals with normalized rime mass M = 0.5145 generated with the aggregation code of Jussi Leinonen available at https://github.com/jleinonen/aggregation 
# generated for Maherndl et al. (2023): "A riming-dependent parameterization of scattering by snowflakes using the self-similar Rayleigh–Gans approximation" 
# created by Nina Maherndl (email:nina.maherndl@uni-leipzig.de) on 2023-03-28 14:12:06 
# The following velocity fits were calculated with a power law fit from Heymsfield&Westbrook, 2010 (https://doi.org/10.1175/2010JAS3379.1) relation 
# am=160.0,bm=2.98,av=357.1432387362895,bv=0.7270077082393744,aa=0.423,ba=1.98,monomer_alpha=1.0
,Diam_max,Dmax,area,mass,vel_HW,vel_Bohm,kappa,gamma,beta,zeta,alpha_eff,number
1,3.000000e-04,3.636719e-04,6.520000e-08,1.002098e-08,8.640728e-01,9.016414e-01,7.386935e-02,3.322870e+00,1.394793e+00,5.822554e-02,8.357345e-01,5.640000e+02
2,5.000000e-04,5.522148e-04,1.448000e-07,3.222338e-08,1.309140e+00,1.323748e+00,2.037688e-01,3.216664e+00,1.160914e+00,7.139092e-02,8.034423e-01,4.554000e+03
3,7.000000e-04,6.963114e-04,2.304000e-07,6.446143e-08,1.661349e+00,1.640491e+00,2.065327e-01,2.997404e+00,6.985149e-01,1.215363e-01,8.017555e-01,1.177700e+04
4,9.000000e-04,8.702658e-04,3.596000e-07,1.177905e-07,1.947397e+00,1.898360e+00,1.954774e-01,2.998600e+00,7.503107e-01,1.234410e-01,7.872732e-01,6.380000e+03
5,1.100000e-03,1.093980e-03,5.732000e-07,2.519256e-07,2.496530e+00,2.390824e+00,1.623116e-01,3.026885e+00,8.056316e-01,1.389739e-01,8.050163e-01,3.875000e+03
6,1.300000e-03,1.298262e-03,7.992000e-07,4.269515e-07,2.908860e+00,2.736795e+00,1.871859e-01,3.074557e+00,8.967274e-01,1.069958e-01,7.978320e-01,3.430000e+03
7,1.500000e-03,1.498645e-03,1.056000e-06,6.613184e-07,3.274332e+00,3.057298e+00,2.092965e-01,3.323599e+00,1.045347e+00,8.441908e-02,7.834192e-01,2.783000e+03
8,1.700000e-03,1.693500e-03,1.350800e-06,9.623218e-07,3.590203e+00,3.333972e+00,2.120603e-01,3.452595e+00,1.317822e+00,6.887422e-02,7.819191e-01,2.381000e+03
9,1.900000e-03,1.897409e-03,1.701600e-06,1.340317e-06,3.888728e+00,3.582331e+00,2.203518e-01,3.672886e+00,1.915388e+00,5.577271e-02,7.774009e-01,1.887000e+03
10,2.100000e-03,2.092838e-03,2.078400e-06,1.811713e-06,4.170690e+00,3.807765e+00,2.148241e-01,3.836556e+00,2.388750e+00,3.847795e-02,7.798160e-01,1.691000e+03
11,2.300000e-03,2.302384e-03,2.515600e-06,2.346625e-06,4.380962e+00,3.989090e+00,2.175879e-01,3.893249e+00,2.886648e+00,3.222643e-02,7.760361e-01,1.407000e+03
12,2.500000e-03,2.493480e-03,2.943400e-06,2.935141e-06,4.581701e+00,4.146387e+00,2.175879e-01,3.992301e+00,3.813106e+00,2.948797e-02,7.849655e-01,1.260000e+03
13,2.700000e-03,2.677801e-03,3.450400e-06,3.580327e-06,4.757621e+00,4.271755e+00,2.203518e-01,3.783959e+00,2.601068e+00,3.264702e-02,8.013183e-01,1.035000e+03
14,2.900000e-03,2.881379e-03,4.019400e-06,4.351018e-06,4.922246e+00,4.383188e+00,2.314070e-01,3.835861e+00,3.247083e+00,1.998152e-02,8.010060e-01,6.520000e+02
15,3.100000e-03,3.118967e-03,4.516000e-06,4.981195e-06,4.945601e+00,4.389445e+00,2.065327e-01,3.875651e+00,3.866434e+00,2.481176e-02,7.871771e-01,7.710000e+02
16,3.300000e-03,3.280442e-03,5.022800e-06,5.875681e-06,5.145380e+00,4.502131e+00,2.231156e-01,3.833266e+00,3.132910e+00,2.530943e-02,7.840280e-01,6.290000e+02
17,3.500000e-03,3.514376e-03,5.864000e-06,6.921685e-06,5.252454e+00,4.522189e+00,1.954774e-01,3.840831e+00,3.758177e+00,2.316183e-02,7.943254e-01,3.630000e+02
18,3.700000e-03,3.669870e-03,6.621000e-06,8.215902e-06,5.440560e+00,4.605231e+00,1.706030e-01,4.061937e+00,8.769592e+00,1.454868e-02,8.202113e-01,3.000000e+02
19,3.900000e-03,3.898911e-03,7.364400e-06,9.413907e-06,5.551411e+00,4.626257e+00,1.540201e-01,3.914766e+00,6.103701e+00,2.083149e-02,8.055685e-01,2.170000e+02
20,4.100000e-03,4.078694e-03,8.098400e-06,1.052046e-05,5.629628e+00,4.642964e+00,1.484925e-01,3.417495e+00,1.663204e+00,2.818420e-02,7.936589e-01,1.020000e+02
