# Table of coefficients for single dendrite crystals rimed (riming Mode C) from Leinonen and Szymer 2015 
# author: Leonie von Terzi, email:lterzi@uni-koeln.de
# Particles generated with monomers from an inverse exponential PSD, size parameter:650e-6, min_size:0.0001, max_size:0.003, grid_res:4e-5, riming_mode:subsequent
# am=177.36049953,bm=3.17795608,av=354.26307716,bv=0.86071708,aa=0.97940,ba=2.13631512,monomer_alpha=1.000
Diam_max,mass,area,vel_Bohm,vel_KC,beta,gamma,kappa,zeta,alpha_eff
2.000000e-03,5.549057e-07,1.820800e-06,2.134755e+00,2.054856e+00,4.291580e-01,2.752370e+00,1.600620e-01,1.231200e-01,7.844250e-01
3.000000e-03,1.902500e-06,4.203200e-06,2.971502e+00,2.740280e+00,7.120290e-01,3.110300e+00,1.589200e-01,1.031510e-01,8.342820e-01
4.000000e-03,4.944176e-06,7.992000e-06,3.741954e+00,3.293420e+00,7.800830e-01,3.236350e+00,1.491100e-01,6.996360e-02,8.651900e-01
5.000000e-03,9.453835e-06,1.259200e-05,4.152870e+00,3.553977e+00,8.857930e-01,3.285870e+00,1.374930e-01,5.754330e-02,8.726880e-01
6.000000e-03,1.606337e-05,1.761280e-05,4.457902e+00,3.724303e+00,8.198230e-01,3.257520e+00,1.269400e-01,5.646850e-02,8.832070e-01
7.000000e-03,2.499895e-05,2.383520e-05,4.651381e+00,3.893633e+00,7.565400e-01,3.243750e+00,1.222000e-01,6.153050e-02,8.820800e-01
8.000000e-03,3.858011e-05,3.144240e-05,4.890054e+00,4.080493e+00,8.406200e-01,3.286730e+00,1.150430e-01,5.469940e-02,8.802870e-01
9.000000e-03,5.295500e-05,3.997120e-05,5.067218e+00,4.200394e+00,9.531180e-01,3.320510e+00,1.180140e-01,5.463410e-02,8.805870e-01
1.000000e-02,7.465047e-05,4.838400e-05,5.398292e+00,4.555451e+00,8.083670e-01,3.283340e+00,1.199560e-01,6.074120e-02,8.718170e-01
1.100000e-02,9.585182e-05,5.930480e-05,5.561001e+00,4.595495e+00,7.547130e-01,3.241920e+00,1.241320e-01,7.898130e-02,8.923870e-01
1.200000e-02,1.365568e-04,7.400720e-05,6.024029e+00,5.043976e+00,nan,nan,nan,nan,nan
