# Table of coefficients for aggregates of rosette monomer crystals with normalized rime mass M = 0.8155 generated with the aggregation code of Jussi Leinonen available at https://github.com/jleinonen/aggregation 
# generated for Maherndl et al. (2023): "A riming-dependent parameterization of scattering by snowflakes using the self-similar Rayleigh–Gans approximation" 
# created by Nina Maherndl (email:nina.maherndl@uni-leipzig.de) on 2023-03-28 14:12:06 
# The following velocity fits were calculated with a power law fit from Heymsfield&Westbrook, 2010 (https://doi.org/10.1175/2010JAS3379.1) relation 
# am=165.0,bm=2.92,av=405.2325549683599,bv=0.7158784275461975,aa=0.455,ba=1.98,monomer_alpha=1.0
,Diam_max,Dmax,area,mass,vel_HW,vel_Bohm,kappa,gamma,beta,zeta,alpha_eff,number
2,5.000000e-04,5.315335e-04,1.478000e-07,4.228470e-08,1.573962e+00,1.517206e+00,1.429648e-01,2.719622e+00,2.913913e-01,1.681047e-01,8.277384e-01,3.880000e+02
3,7.000000e-04,7.162629e-04,2.688000e-07,1.008480e-07,2.077308e+00,1.966926e+00,1.567839e-01,2.849582e+00,4.565263e-01,1.127583e-01,8.649096e-01,1.051000e+03
4,9.000000e-04,9.204738e-04,4.444000e-07,2.224349e-07,2.646604e+00,2.456180e+00,1.484925e-01,2.686886e+00,2.894692e-01,1.304625e-01,8.650417e-01,2.417000e+03
5,1.100000e-03,1.114503e-03,6.536000e-07,3.975452e-07,3.126273e+00,2.871347e+00,1.706030e-01,2.798772e+00,3.002730e-01,1.224927e-01,8.603743e-01,4.544000e+03
6,1.300000e-03,1.304286e-03,8.976000e-07,6.449004e-07,3.555820e+00,3.231122e+00,1.788945e-01,3.045075e+00,4.341092e-01,8.423145e-02,8.553881e-01,7.063000e+03
7,1.500000e-03,1.498269e-03,1.183200e-06,9.686308e-07,3.934659e+00,3.546519e+00,1.927136e-01,3.395104e+00,8.439782e-01,5.591425e-02,8.556004e-01,7.751000e+03
8,1.700000e-03,1.691015e-03,1.495200e-06,1.343919e-06,4.210333e+00,3.784257e+00,2.065327e-01,3.694471e+00,1.485262e+00,3.570226e-02,8.490821e-01,5.847000e+03
9,1.900000e-03,1.882792e-03,1.858400e-06,1.795493e-06,4.457548e+00,3.982884e+00,2.092965e-01,3.737594e+00,1.499045e+00,3.218667e-02,8.451204e-01,3.907000e+03
10,2.100000e-03,2.070386e-03,2.231000e-06,2.286613e-06,4.655132e+00,4.147785e+00,2.175879e-01,3.786418e+00,1.664370e+00,2.900699e-02,8.212282e-01,1.360000e+03
11,2.300000e-03,2.263157e-03,2.686000e-06,2.885579e-06,4.859001e+00,4.297496e+00,2.037688e-01,3.862345e+00,2.272597e+00,2.442597e-02,8.305118e-01,4.470000e+02
12,2.500000e-03,2.498159e-03,3.309600e-06,3.709393e-06,5.062384e+00,4.431745e+00,1.816583e-01,4.032349e+00,3.616410e+00,3.439305e-02,8.300428e-01,5.200000e+01
