# Table of coefficients for rimed dendritic aggregates from Leinonen and Szymer 2015 
# author: Leonie von Terzi, email:lterzi@uni-koeln.de
# Particles generated with an inverse exponential PSD of monomers, size_parameter:650e-6, min_size:0.0001, max_size:0.003, grid_res:4e-5, riming_mode:simultaneous, elwp:0.0
# am=0.01037115,bm=1.99693008,av=2.53163718,bv=0.27386092,aa=0.07192,ba=1.85665331,monomer_alpha=0.05,
Diam_max,mass,area,vel_Bohm,vel_KC,beta,gamma,kappa,zeta,alpha_eff
1.207859e-08,2.238919e-07,3.308828e-01,5.723092e-01,9.586713e-04,4.414660e+00,2.823910e+00,2.401290e-01,3.415540e-02,5.824810e-01
6.152403e-08,1.022332e-06,5.044123e-01,8.719624e-01,2.510489e-03,3.365950e+00,2.599400e+00,2.410380e-01,5.188530e-02,6.193840e-01
1.241930e-07,1.835491e-06,5.786144e-01,9.861038e-01,3.482929e-03,1.175210e+00,2.063440e+00,2.269840e-01,9.591580e-02,6.377700e-01
2.282973e-07,3.294924e-06,6.367198e-01,1.004580e+00,4.556000e-03,1.534660e+00,2.203940e+00,2.022310e-01,6.861410e-02,6.415970e-01
3.154524e-07,4.436024e-06,6.631493e-01,1.045859e+00,5.439734e-03,7.988740e-01,2.042700e+00,1.986570e-01,1.146580e-01,6.194250e-01
4.244573e-07,6.047877e-06,6.622758e-01,1.060650e+00,6.569408e-03,6.318460e-01,1.922030e+00,1.906470e-01,1.318020e-01,6.500150e-01
5.849860e-07,7.920393e-06,7.042777e-01,1.102984e+00,7.464564e-03,8.129470e-01,2.011890e+00,2.133140e-01,1.053410e-01,6.396390e-01
7.410280e-07,9.939911e-06,7.135378e-01,1.110332e+00,8.441750e-03,6.549030e-01,1.944380e+00,2.188340e-01,1.156850e-01,6.278270e-01
1.024923e-06,1.348279e-05,7.588844e-01,1.130790e+00,9.462098e-03,9.810790e-01,2.159840e+00,1.927620e-01,9.104320e-02,6.426730e-01
1.284299e-06,1.666771e-05,7.821819e-01,1.147663e+00,1.058552e-02,6.771640e-01,1.958050e+00,1.476800e-01,1.355000e-01,6.333440e-01
1.437337e-06,1.863176e-05,7.778427e-01,1.151060e+00,1.145342e-02,6.917290e-01,1.960050e+00,1.797190e-01,1.071580e-01,6.220300e-01
1.633482e-06,2.114019e-05,7.701283e-01,1.145906e+00,1.247621e-02,8.060150e-01,2.046420e+00,1.911940e-01,1.140320e-01,6.371280e-01
2.076344e-06,2.600892e-05,8.072920e-01,1.159953e+00,1.343240e-02,7.831740e-01,2.036400e+00,1.957990e-01,1.118710e-01,6.478200e-01
2.437065e-06,3.047737e-05,8.214159e-01,1.154106e+00,1.452481e-02,6.746380e-01,1.974710e+00,1.807200e-01,1.146500e-01,6.360540e-01
2.889466e-06,3.512296e-05,8.384023e-01,1.155595e+00,1.549576e-02,7.500360e-01,2.027210e+00,2.075190e-01,1.011640e-01,6.661390e-01
3.359242e-06,4.037790e-05,8.573196e-01,1.155326e+00,1.652108e-02,6.598090e-01,1.984380e+00,1.855930e-01,1.145730e-01,6.829660e-01
3.813622e-06,4.547742e-05,8.661331e-01,1.149817e+00,1.752864e-02,5.735090e-01,1.949630e+00,1.758300e-01,1.251500e-01,6.645850e-01
4.083936e-06,4.812498e-05,8.570362e-01,1.143674e+00,1.850015e-02,7.082480e-01,2.015450e+00,1.785750e-01,1.076910e-01,6.643060e-01
4.451403e-06,5.299858e-05,8.531199e-01,1.130252e+00,1.951702e-02,6.265950e-01,1.980410e+00,1.821520e-01,1.373290e-01,6.546750e-01
4.698155e-06,5.603260e-05,8.399097e-01,1.120159e+00,2.052557e-02,5.442140e-01,1.925700e+00,2.003180e-01,1.303700e-01,6.272890e-01
4.698309e-06,5.651684e-05,8.107558e-01,1.107762e+00,2.145934e-02,5.232070e-01,1.910090e+00,2.236500e-01,1.406450e-01,5.780070e-01
4.819444e-06,5.780874e-05,7.932708e-01,1.102136e+00,2.251742e-02,3.961040e-01,1.800460e+00,1.759030e-01,1.862160e-01,5.969650e-01
