# Table of coefficients for rimed dendritic aggregates from Leinonen and Szymer 2015 
# author: Leonie von Terzi, email:lterzi@uni-koeln.de
# Particles generated with monomers from an inverse exponential PSD, size parameter:650e-6, min_size:0.0001, max_size:0.003, grid_res:4e-5, riming_mode:simultaneous
# am=0.31202271,bm=2.39371725,av=7.73931435,bv=0.35553119,aa=0.15859,ba=1.91622654,monomer_alpha=0.05,
Diam_max,mass,area,vel_Bohm,vel_KC,beta,gamma,kappa,zeta,alpha_eff
2.000000e-03,3.796344e-08,3.900541e-07,6.552097e-01,8.378356e-01,3.375240e+00,1.982370e+00,3.123410e-01,1.040880e+00,6.195610e-01
3.000000e-03,1.880994e-07,1.680600e-06,9.475971e-01,1.231446e+00,4.418390e+00,3.060410e+00,2.117830e-01,4.462600e-02,6.248840e-01
4.000000e-03,3.750164e-07,2.986871e-06,1.058596e+00,1.363815e+00,3.887910e+00,2.906480e+00,1.717700e-01,4.001020e-02,6.359470e-01
5.000000e-03,6.284389e-07,4.640348e-06,1.138894e+00,1.453936e+00,3.561020e+00,2.849190e+00,1.619450e-01,4.573480e-02,6.485760e-01
6.000000e-03,9.830955e-07,6.684075e-06,1.220123e+00,1.551867e+00,2.044880e+00,2.556980e+00,1.655540e-01,6.986920e-02,6.581540e-01
7.000000e-03,1.485364e-06,9.930125e-06,1.284987e+00,1.582225e+00,1.183040e+00,2.260170e+00,1.583450e-01,7.176620e-02,6.459200e-01
8.000000e-03,1.858629e-06,1.167997e-05,1.304568e+00,1.641311e+00,1.201940e+00,2.292730e+00,1.474610e-01,7.011950e-02,6.398430e-01
9.000000e-03,2.691313e-06,1.559033e-05,1.399174e+00,1.704028e+00,1.012620e+00,2.234810e+00,1.455820e-01,7.534080e-02,6.563180e-01
1.000000e-02,3.898894e-06,2.048943e-05,1.509180e+00,1.757930e+00,8.031150e-01,2.122810e+00,1.463230e-01,9.572340e-02,6.512150e-01
1.100000e-02,4.862343e-06,2.364743e-05,1.549196e+00,1.797189e+00,8.108220e-01,2.145960e+00,1.632880e-01,9.878000e-02,6.396180e-01
1.200000e-02,6.479152e-06,2.976757e-05,1.620856e+00,1.812719e+00,4.176650e-01,1.881630e+00,1.754620e-01,1.155350e-01,6.703240e-01
1.300000e-02,8.847109e-06,3.726841e-05,1.733083e+00,1.857392e+00,5.094430e-01,1.942210e+00,1.287840e-01,1.342000e-01,6.760420e-01
1.400000e-02,1.132627e-05,4.394184e-05,1.792393e+00,1.896466e+00,4.456990e-01,1.861320e+00,1.527890e-01,1.564770e-01,7.055540e-01
1.500000e-02,1.285736e-05,4.853265e-05,1.783993e+00,1.910605e+00,4.825340e-01,1.894250e+00,1.982800e-01,1.586650e-01,7.068000e-01
1.600000e-02,1.606107e-05,5.728137e-05,1.834261e+00,1.944629e+00,3.382030e-01,1.857300e+00,1.611770e-01,1.690750e-01,6.809350e-01
1.700000e-02,2.047236e-05,6.846227e-05,1.915811e+00,2.013799e+00,4.898270e-01,1.962040e+00,1.546910e-01,1.404890e-01,6.977340e-01
1.800000e-02,2.257427e-05,7.298504e-05,1.880507e+00,2.018819e+00,3.977380e-01,1.874140e+00,1.481140e-01,1.332640e-01,7.096160e-01
1.900000e-02,2.904608e-05,8.743101e-05,1.986634e+00,2.101474e+00,2.761870e-01,1.736700e+00,1.309220e-01,1.775390e-01,7.144630e-01
2.000000e-02,3.081474e-05,9.176339e-05,1.950144e+00,2.106609e+00,3.363740e-01,1.790400e+00,1.501290e-01,1.745370e-01,7.066910e-01
2.100000e-02,3.627134e-05,1.039536e-04,1.990650e+00,2.148406e+00,1.889260e-01,1.599250e+00,1.555060e-01,2.225010e-01,6.961880e-01
2.200000e-02,3.896810e-05,1.102000e-04,1.974757e+00,2.171068e+00,1.960530e-01,1.639600e+00,1.584480e-01,1.634350e-01,6.649570e-01
2.300000e-02,4.507411e-05,1.210129e-04,2.021870e+00,2.229428e+00,2.341040e-01,1.677110e+00,1.675990e-01,1.619090e-01,6.808570e-01
