# Table of coefficients for rimed dendritic aggregates (riming Mode A) from Leinonen and Szymer 2015 
# author: Leonie von Terzi, email:lterzi@uni-koeln.de
# Particles generated with monomers from an inverse exponential PSD, size parameter:650e-6, min_size:0.0001, max_size:0.003, grid_res:4e-5, riming_mode:simultaneous
# am=0.19945749,bm=2.24615390,av=4.99078476,bv=0.23222736,aa=0.12073,ba=1.84494017,monomer_alpha=0.300,
Diam_max,mass,area,vel_Bohm,vel_KC,beta,gamma,kappa,zeta,alpha_eff
2.000000e-03,1.814646e-07,1.284800e-06,1.173060e+00,1.369849e+00,1.552130e+00,3.072260e+00,1.824110e-01,8.697030e-02,6.653620e-01
3.000000e-03,3.967556e-07,2.640000e-06,1.322293e+00,1.531041e+00,7.296900e+00,3.562250e+00,1.985420e-01,3.221590e-02,6.120520e-01
4.000000e-03,8.347957e-07,4.972000e-06,1.451810e+00,1.660435e+00,1.027620e+01,3.603530e+00,1.817310e-01,2.649340e-02,6.378470e-01
5.000000e-03,1.349973e-06,6.563200e-06,1.555025e+00,1.838231e+00,5.966890e+00,3.208660e+00,1.291470e-01,3.695850e-02,6.566030e-01
6.000000e-03,1.781583e-06,8.968800e-06,1.555911e+00,1.841715e+00,3.155590e+00,2.927180e+00,1.559820e-01,5.024120e-02,6.330810e-01
7.000000e-03,2.472147e-06,1.218880e-05,1.590560e+00,1.876896e+00,1.997560e+00,2.634000e+00,1.771650e-01,5.937570e-02,6.467260e-01
8.000000e-03,3.225841e-06,1.408480e-05,1.646436e+00,1.934810e+00,2.170730e+00,2.637920e+00,1.525210e-01,6.657700e-02,6.421040e-01
9.000000e-03,3.922395e-06,1.770800e-05,1.680838e+00,1.934612e+00,2.012840e+00,2.575880e+00,1.788570e-01,7.701530e-02,6.446810e-01
1.000000e-02,5.765200e-06,2.331760e-05,1.786261e+00,1.976285e+00,1.363020e+00,2.398150e+00,1.802170e-01,6.397700e-02,6.474780e-01
1.100000e-02,7.121281e-06,2.850720e-05,1.796980e+00,1.974631e+00,1.061870e+00,2.270410e+00,1.497950e-01,9.067290e-02,6.575600e-01
1.200000e-02,8.580074e-06,3.391760e-05,1.793902e+00,1.966703e+00,9.047940e-01,2.215940e+00,1.509680e-01,1.006140e-01,6.724710e-01
1.300000e-02,1.197273e-05,4.144160e-05,1.923262e+00,2.023369e+00,5.965760e-01,2.071690e+00,1.493420e-01,1.168270e-01,6.767180e-01
1.400000e-02,1.460502e-05,4.964480e-05,1.949792e+00,2.032055e+00,5.098000e-01,2.001770e+00,1.630540e-01,1.419310e-01,6.833350e-01
1.500000e-02,1.709531e-05,5.648000e-05,1.954461e+00,2.052756e+00,5.293970e-01,1.961510e+00,1.415620e-01,1.485700e-01,6.900950e-01
1.600000e-02,1.831342e-05,5.920960e-05,1.896536e+00,2.053599e+00,4.375410e-01,1.936020e+00,1.622390e-01,1.429480e-01,6.556130e-01
1.700000e-02,2.033596e-05,6.505760e-05,1.894042e+00,2.079202e+00,4.943930e-01,2.001000e+00,1.526890e-01,1.539770e-01,6.503240e-01
1.800000e-02,2.763406e-05,7.822960e-05,2.007611e+00,2.171396e+00,4.889330e-01,1.998960e+00,1.590530e-01,1.610220e-01,6.647630e-01
1.900000e-02,3.269246e-05,8.866080e-05,2.067236e+00,2.182561e+00,3.703040e-01,1.860640e+00,1.368900e-01,1.656340e-01,6.896510e-01
2.000000e-02,3.922812e-05,1.015568e-04,2.141644e+00,2.274067e+00,3.105850e-01,1.803990e+00,1.584470e-01,1.601080e-01,6.911260e-01
2.100000e-02,4.139486e-05,1.103792e-04,2.090228e+00,2.291960e+00,3.498520e-01,1.861520e+00,1.684890e-01,1.540330e-01,6.899720e-01
2.200000e-02,4.730670e-05,1.196288e-04,2.109028e+00,2.305885e+00,3.984310e-01,1.927860e+00,1.515160e-01,1.503340e-01,6.877780e-01
2.300000e-02,5.111323e-05,1.242640e-04,2.103875e+00,2.328940e+00,3.633220e-01,1.887660e+00,1.579240e-01,1.932180e-01,6.902190e-01
