# Table of coefficients for rimed dendritic aggregates (riming Mode A) from Leinonen and Szymer 2015 
# author: Leonie von Terzi, email:lterzi@uni-koeln.de
# Particles generated with monomers from an inverse exponential PSD, size parameter:650e-6, min_size:0.0001, max_size:0.003, grid_res:4e-5, riming_mode:simultaneous
# am=0.17089460,bm=1.98052034,av=3.16357017,bv=0.01692403,aa=0.07434,ba=1.69154720,monomer_alpha=0.300
Diam_max,mass,area,vel_Bohm,vel_KC,beta,gamma,kappa,zeta,alpha_eff
2.000000e-03,7.171081e-07,1.995200e-06,2.398838e+00,2.201716e+00,3.497810e-01,2.882560e+00,1.622100e-01,1.309890e-01,8.414870e-01
3.000000e-03,1.754187e-06,4.155200e-06,2.848849e+00,2.613427e+00,5.934340e-01,3.215250e+00,1.961790e-01,8.135140e-02,7.910810e-01
4.000000e-03,3.406307e-06,7.166400e-06,3.084558e+00,2.904891e+00,1.291680e+00,3.483490e+00,1.760430e-01,6.875530e-02,7.384550e-01
5.000000e-03,4.791781e-06,9.500800e-06,3.114598e+00,2.940623e+00,1.925950e+00,3.601400e+00,1.858980e-01,5.249880e-02,6.899000e-01
6.000000e-03,7.258818e-06,1.316000e-05,3.176726e+00,3.006289e+00,3.975440e+00,3.705810e+00,1.567730e-01,5.577650e-02,6.916240e-01
7.000000e-03,8.936161e-06,1.567040e-05,3.047863e+00,2.958282e+00,5.129060e+00,3.774340e+00,1.490650e-01,4.847680e-02,6.657080e-01
8.000000e-03,1.152374e-05,2.029600e-05,3.063122e+00,2.931705e+00,6.019710e+00,3.781650e+00,1.497730e-01,4.840930e-02,6.554580e-01
9.000000e-03,1.535223e-05,2.577200e-05,3.069773e+00,2.940522e+00,7.501270e+00,3.781340e+00,1.316350e-01,3.724740e-02,6.583200e-01
1.000000e-02,1.983167e-05,3.220160e-05,3.063213e+00,2.951026e+00,6.510670e+00,3.648700e+00,1.375670e-01,3.257210e-02,6.743160e-01
1.100000e-02,2.298722e-05,3.595520e-05,3.003989e+00,2.978368e+00,9.254780e+00,3.679450e+00,1.714450e-01,3.106490e-02,6.775960e-01
1.200000e-02,2.741237e-05,4.212960e-05,2.993394e+00,2.978608e+00,7.798220e+00,3.597160e+00,1.861020e-01,3.044870e-02,6.712690e-01
1.300000e-02,3.230345e-05,4.864160e-05,2.932438e+00,2.950864e+00,6.905220e+00,3.480900e+00,1.511120e-01,2.779250e-02,6.615620e-01
1.400000e-02,3.544021e-05,5.325920e-05,2.947674e+00,3.017589e+00,5.690840e+00,3.371430e+00,1.571520e-01,3.108710e-02,6.558950e-01
1.500000e-02,4.200958e-05,5.979040e-05,2.903648e+00,3.067694e+00,6.269940e+00,3.453590e+00,1.320900e-01,3.063700e-02,6.434970e-01
1.600000e-02,4.748611e-05,6.790240e-05,2.893059e+00,3.062916e+00,8.379020e+00,3.472540e+00,1.822490e-01,2.295190e-02,6.395840e-01
1.700000e-02,5.613122e-05,7.664800e-05,2.963706e+00,3.122349e+00,6.402100e+00,3.352780e+00,1.564860e-01,2.639220e-02,6.384900e-01
1.800000e-02,6.272813e-05,8.818880e-05,2.940685e+00,3.174065e+00,4.218840e+00,3.139300e+00,1.705480e-01,4.204460e-02,6.570920e-01
1.900000e-02,6.781223e-05,9.450720e-05,2.936318e+00,3.136955e+00,4.321280e+00,3.110910e+00,1.525310e-01,4.369670e-02,6.648780e-01
2.000000e-02,7.606120e-05,1.015104e-04,2.947011e+00,3.201057e+00,4.890470e+00,3.050230e+00,1.747630e-01,3.521220e-02,6.783310e-01
2.100000e-02,8.142903e-05,1.075648e-04,2.956016e+00,3.253407e+00,4.834260e+00,3.060670e+00,1.803360e-01,3.708470e-02,6.525240e-01
2.200000e-02,9.980797e-05,1.265224e-04,3.068167e+00,3.295624e+00,3.262350e+00,2.910090e+00,1.658820e-01,4.662490e-02,6.728730e-01
2.300000e-02,9.993925e-05,1.310048e-04,2.987243e+00,3.314049e+00,2.491450e+00,2.794240e+00,1.297470e-01,6.482120e-02,6.724140e-01
