# Table of coefficients for rimed dendritic aggregates (riming Mode A) from Leinonen and Szymer 2015 
# author: Leonie von Terzi, email:lterzi@uni-koeln.de
# Particles generated with monomers from an inverse exponential PSD, size parameter:650e-6, min_size:0.0001, max_size:0.003, grid_res:4e-5, riming_mode:simultaneous
# am=0.27685200,bm=1.96505074,av=3.68152534,bv=-0.00749836,aa=0.06864,ba=1.64063423,monomer_alpha=0.300,
Diam_max,mass,area,vel_Bohm,vel_KC,beta,gamma,kappa,zeta,alpha_eff
2.000000e-03,nan,nan,nan,nan,6.141260e+00,3.662890e+00,1.541790e-01,3.135170e-02,6.892790e-01
3.000000e-03,2.505151e-06,5.008000e-06,3.220044e+00,2.922081e+00,4.908390e-01,3.032130e+00,1.447720e-01,1.132290e-01,8.895290e-01
4.000000e-03,4.859375e-06,7.708000e-06,3.799038e+00,3.287934e+00,6.493210e-01,3.176750e+00,1.571510e-01,7.327950e-02,8.586650e-01
5.000000e-03,8.392678e-06,1.205520e-05,4.009424e+00,3.439823e+00,9.667020e-01,3.391420e+00,1.543270e-01,4.452310e-02,8.159050e-01
6.000000e-03,1.266608e-05,1.646400e-05,4.242982e+00,3.602440e+00,1.163430e+00,3.465320e+00,1.430070e-01,5.534140e-02,7.614420e-01
7.000000e-03,1.672064e-05,2.066480e-05,4.077984e+00,3.511855e+00,1.353500e+00,3.559970e+00,1.601760e-01,5.168690e-02,7.066900e-01
8.000000e-03,2.127297e-05,2.428880e-05,4.003911e+00,3.606182e+00,1.806860e+00,3.625730e+00,1.499960e-01,6.718260e-02,6.780600e-01
9.000000e-03,2.859435e-05,3.166240e-05,3.900031e+00,3.456306e+00,2.058760e+00,3.590940e+00,1.441080e-01,8.314810e-02,6.906790e-01
1.000000e-02,3.631588e-05,3.683360e-05,3.902047e+00,3.602757e+00,2.873340e+00,3.668060e+00,1.519040e-01,6.113790e-02,6.939690e-01
1.100000e-02,3.699426e-05,4.158880e-05,3.679040e+00,3.502864e+00,2.712170e+00,3.583960e+00,1.595450e-01,6.151560e-02,6.801280e-01
1.200000e-02,5.310091e-05,5.273040e-05,3.921749e+00,3.743709e+00,3.770510e+00,3.642530e+00,1.131120e-01,5.636040e-02,6.808570e-01
1.300000e-02,5.648270e-05,5.563360e-05,3.831834e+00,3.763748e+00,4.387990e+00,3.726190e+00,1.567440e-01,5.767820e-02,6.586020e-01
1.400000e-02,6.156321e-05,6.140000e-05,3.762182e+00,3.745198e+00,4.558540e+00,3.747540e+00,1.659650e-01,4.673470e-02,6.317130e-01
1.500000e-02,7.652264e-05,7.137200e-05,3.754364e+00,3.760243e+00,5.181060e+00,3.730520e+00,1.312920e-01,3.608790e-02,6.372890e-01
1.600000e-02,8.198467e-05,7.670240e-05,3.770283e+00,3.817677e+00,9.270700e+00,3.866670e+00,1.299490e-01,2.561180e-02,6.505070e-01
1.700000e-02,9.166146e-05,8.445120e-05,3.762705e+00,3.899613e+00,7.464170e+00,3.723840e+00,1.205500e-01,2.598810e-02,6.772810e-01
1.800000e-02,1.263100e-04,1.065504e-04,4.110609e+00,4.059482e+00,7.737990e+00,3.719310e+00,1.565050e-01,2.874190e-02,6.826740e-01
1.900000e-02,1.189851e-04,1.122368e-04,3.860896e+00,3.931514e+00,8.249800e+00,3.689100e+00,1.610440e-01,2.932610e-02,6.901180e-01
2.000000e-02,1.323873e-04,1.182160e-04,3.891271e+00,3.953121e+00,1.058100e+01,3.745140e+00,1.708700e-01,2.213720e-02,6.998690e-01
2.100000e-02,1.353036e-04,1.240640e-04,3.773913e+00,3.984707e+00,1.051430e+01,3.735480e+00,1.464360e-01,2.533190e-02,6.732990e-01
2.200000e-02,1.554000e-04,1.250608e-04,3.910250e+00,4.065190e+00,1.042890e+01,3.685650e+00,1.643100e-01,2.438380e-02,6.765790e-01
2.300000e-02,1.655428e-04,1.408416e-04,3.764594e+00,3.981270e+00,1.255030e+01,3.769630e+00,1.567650e-01,2.362630e-02,6.505410e-01
