# Table of coefficients for rimed dendritic aggregates (riming Mode B) from Leinonen and Szymer 2015 
# author: Leonie von Terzi, email:lterzi@uni-koeln.de
# Particles generated with monomers from an inverse exponential PSD, size parameter:650e-6, min_size:0.0001, max_size:0.003, grid_res:4e-5, riming_mode:subsequent
# am=0.02197530,bm=1.96514928,av=2.63520563,bv=0.18734079,aa=0.08433,ba=1.80869081,monomer_alpha=0.500,
Diam_max,mass,area,vel_Bohm,vel_KC,beta,gamma,kappa,zeta,alpha_eff
2.000000e-03,1.022427e-07,1.105600e-06,8.633756e-01,1.098538e+00,1.173910e+00,2.673550e+00,2.183640e-01,1.146920e-01,6.607240e-01
3.000000e-03,2.434797e-07,2.382400e-06,9.312797e-01,1.185539e+00,2.651650e+00,2.892000e+00,2.292100e-01,4.151290e-02,6.162780e-01
4.000000e-03,4.075025e-07,3.537600e-06,9.890201e-01,1.275235e+00,3.265240e+00,2.830710e+00,2.173080e-01,5.426810e-02,6.216670e-01
5.000000e-03,6.578824e-07,5.484800e-06,1.070604e+00,1.390998e+00,1.540920e+00,2.313190e+00,1.815360e-01,8.969270e-02,6.709600e-01
6.000000e-03,8.755519e-07,7.803200e-06,1.071944e+00,1.376058e+00,2.037350e+00,2.317130e+00,2.199040e-01,6.027580e-02,6.399210e-01
7.000000e-03,1.207239e-06,1.016320e-05,1.134247e+00,1.447820e+00,1.448750e+00,2.283340e+00,1.904940e-01,7.477260e-02,6.440980e-01
8.000000e-03,1.637791e-06,1.335760e-05,1.145827e+00,1.455144e+00,8.177880e-01,2.142740e+00,1.613320e-01,1.155280e-01,6.534830e-01
9.000000e-03,2.155582e-06,1.696640e-05,1.213973e+00,1.498226e+00,9.419690e-01,2.113950e+00,1.772050e-01,1.020040e-01,6.891160e-01
1.000000e-02,2.810117e-06,2.158960e-05,1.233739e+00,1.477998e+00,8.950310e-01,2.101770e+00,1.943700e-01,8.826290e-02,6.839090e-01
1.100000e-02,3.008847e-06,2.378400e-05,1.199021e+00,1.473952e+00,7.923470e-01,2.042880e+00,1.828500e-01,9.467510e-02,6.600730e-01
1.200000e-02,3.457576e-06,2.731120e-05,1.179490e+00,1.468799e+00,6.530650e-01,1.951710e+00,1.808800e-01,1.134570e-01,6.709060e-01
1.300000e-02,4.350305e-06,3.405280e-05,1.225735e+00,1.462732e+00,7.363420e-01,2.020240e+00,1.802890e-01,1.146630e-01,6.661890e-01
1.400000e-02,5.389615e-06,3.972000e-05,1.245084e+00,1.451177e+00,8.303090e-01,2.086990e+00,1.923450e-01,1.163530e-01,6.675500e-01
1.500000e-02,6.020513e-06,4.635520e-05,1.245012e+00,1.448428e+00,7.562340e-01,2.061610e+00,1.695820e-01,1.128170e-01,6.654760e-01
1.600000e-02,6.907399e-06,5.118080e-05,1.257797e+00,1.439001e+00,8.616700e-01,2.117130e+00,1.592600e-01,1.101060e-01,6.580480e-01
1.700000e-02,8.524871e-06,6.045760e-05,1.292606e+00,1.426189e+00,4.667790e-01,1.906260e+00,1.687280e-01,1.590800e-01,6.804210e-01
1.800000e-02,8.385924e-06,6.158800e-05,1.236382e+00,1.421005e+00,5.717770e-01,1.954970e+00,1.668650e-01,1.784410e-01,6.920290e-01
1.900000e-02,1.000783e-05,7.097920e-05,1.251307e+00,1.412619e+00,7.391960e-01,2.042490e+00,1.670880e-01,1.642830e-01,6.739310e-01
2.000000e-02,1.097444e-05,7.929120e-05,1.254765e+00,1.401253e+00,7.658200e-01,2.096910e+00,1.577380e-01,1.330480e-01,6.588580e-01
2.100000e-02,1.136229e-05,8.132480e-05,1.218387e+00,1.391510e+00,7.901310e-01,2.091890e+00,1.631950e-01,1.132900e-01,6.737530e-01
2.200000e-02,1.248477e-05,8.666400e-05,1.208997e+00,1.392224e+00,5.889610e-01,1.957450e+00,1.755170e-01,1.439560e-01,6.528730e-01
2.300000e-02,1.362494e-05,9.406720e-05,1.209750e+00,1.407482e+00,6.958150e-01,2.016490e+00,1.681800e-01,1.071590e-01,6.456060e-01
