# Table of coefficients for rimed dendritic aggregates from Leinonen and Szymer 2015 
# author: Leonie von Terzi, email:lterzi@uni-koeln.de
# Particles generated with monomers from an inverse exponential PSD, size parameter:650e-6, min_size:0.0001, max_size:0.003, grid_res:4e-5, riming_mode:subsequent
# am=0.03342425,bm=1.94405240,av=2.82249700,bv=0.15277102,aa=0.08507,ba=1.77545762,monomer_alpha=0.5
Diam_max,mass,area,vel_Bohm,vel_KC,beta,gamma,kappa,zeta,alpha_eff
2.000000e-03,6.321081e-08,4.929333e-07,9.080420e-01,1.020227e+00,1.486040e+00,-3.026600e+00,2.108190e-01,6.923630e-02,6.578250e-01
3.000000e-03,2.853480e-07,1.895552e-06,1.242450e+00,1.460358e+00,4.443970e+00,-3.369560e+00,2.304300e-01,3.295040e-02,6.306600e-01
4.000000e-03,5.671896e-07,3.517541e-06,1.356733e+00,1.591887e+00,7.761190e+00,-3.383380e+00,2.201810e-01,2.237550e-02,6.489580e-01
5.000000e-03,9.603915e-07,5.588800e-06,1.428373e+00,1.675656e+00,6.396920e+00,-3.155020e+00,2.010920e-01,2.354310e-02,6.393170e-01
6.000000e-03,1.412270e-06,8.266689e-06,1.448002e+00,1.699322e+00,4.247010e+00,-2.953400e+00,1.850030e-01,4.168560e-02,6.649810e-01
7.000000e-03,2.004779e-06,1.143028e-05,1.502867e+00,1.737632e+00,3.642150e+00,-2.854900e+00,1.463500e-01,4.815730e-02,6.835720e-01
8.000000e-03,2.598977e-06,1.426255e-05,1.523856e+00,1.771709e+00,2.105490e+00,-2.576280e+00,1.971000e-01,6.522510e-02,6.597130e-01
9.000000e-03,3.283840e-06,1.841378e-05,1.534201e+00,1.749274e+00,1.684650e+00,-2.446350e+00,1.625040e-01,7.911870e-02,6.624900e-01
1.000000e-02,4.172680e-06,2.275510e-05,1.560052e+00,1.752430e+00,1.545140e+00,-2.371250e+00,1.686230e-01,9.355900e-02,6.542390e-01
1.100000e-02,5.067849e-06,2.727086e-05,1.573562e+00,1.742672e+00,9.317040e-01,-2.152590e+00,1.551800e-01,1.351230e-01,6.733460e-01
1.200000e-02,5.913530e-06,3.148752e-05,1.565713e+00,1.726213e+00,7.542540e-01,-2.092060e+00,1.672080e-01,1.320470e-01,6.882740e-01
1.300000e-02,6.971218e-06,3.598643e-05,1.571826e+00,1.726103e+00,7.173590e-01,-2.112700e+00,1.805080e-01,1.066710e-01,6.639620e-01
1.400000e-02,8.338601e-06,4.349189e-05,1.579456e+00,1.694589e+00,6.725510e-01,-2.059300e+00,1.643200e-01,1.311310e-01,6.734150e-01
1.500000e-02,9.764813e-06,5.017486e-05,1.578761e+00,1.686025e+00,5.951680e-01,-2.015100e+00,1.646080e-01,1.468620e-01,6.726570e-01
1.600000e-02,1.123767e-05,5.699547e-05,1.582891e+00,1.681363e+00,7.099050e-01,-2.068020e+00,1.953530e-01,1.097470e-01,6.598300e-01
1.700000e-02,1.181400e-05,5.960711e-05,1.533879e+00,1.670843e+00,8.427070e-01,-2.106500e+00,1.509130e-01,1.073450e-01,6.775850e-01
1.800000e-02,1.396763e-05,7.018032e-05,1.548961e+00,1.665123e+00,7.492750e-01,-2.062090e+00,1.819040e-01,1.185160e-01,6.887310e-01
1.900000e-02,1.592006e-05,7.894962e-05,1.549830e+00,1.669581e+00,7.629790e-01,-2.106870e+00,1.766630e-01,1.120470e-01,6.744340e-01
2.000000e-02,1.649060e-05,8.219578e-05,1.505229e+00,1.658220e+00,7.978000e-01,-2.108350e+00,1.519170e-01,1.077310e-01,6.620960e-01
2.100000e-02,1.882204e-05,9.256400e-05,1.515454e+00,1.667301e+00,8.010570e-01,-2.106230e+00,1.491660e-01,1.627580e-01,6.507210e-01
2.200000e-02,2.036700e-05,9.895367e-05,1.502411e+00,1.674036e+00,6.832550e-01,-2.085020e+00,1.381080e-01,1.639100e-01,6.500360e-01
2.300000e-02,2.090632e-05,1.037031e-04,1.453809e+00,1.654506e+00,8.825150e-01,-2.185230e+00,1.423460e-01,1.128380e-01,6.507220e-01
