# Table of coefficients for rimed dendritic aggregates (riming Mode B) from Leinonen and Szymer 2015 
# author: Leonie von Terzi, email:lterzi@uni-koeln.de
# Particles generated with monomers from an inverse exponential PSD, size parameter:650e-6, min_size:0.0001, max_size:0.003, grid_res:4e-5, riming_mode:subsequent
# am=0.19979696,bm=1.97644929,av=2.97031580,bv=-0.01178646,aa=0.12397,ba=1.75858219,monomer_alpha=0.500,
Diam_max,mass,area,vel_Bohm,vel_KC,beta,gamma,kappa,zeta,alpha_eff
2.000000e-03,8.760512e-07,2.350400e-06,2.502146e+00,2.307124e+00,2.967080e-01,2.781580e+00,1.467630e-01,1.246480e-01,8.686520e-01
3.000000e-03,1.833997e-06,4.007200e-06,2.886413e+00,2.630032e+00,6.076150e-01,3.123100e+00,1.771060e-01,9.537350e-02,8.359010e-01
4.000000e-03,3.686461e-06,7.533600e-06,3.168470e+00,2.895544e+00,1.494530e+00,3.424490e+00,1.827140e-01,6.265030e-02,7.973360e-01
5.000000e-03,5.489392e-06,1.068480e-05,3.327525e+00,2.966009e+00,2.138080e+00,3.476910e+00,1.924810e-01,4.088300e-02,7.970100e-01
6.000000e-03,8.392472e-06,1.544800e-05,3.353284e+00,2.998185e+00,3.386550e+00,3.581710e+00,1.902660e-01,3.696050e-02,7.674990e-01
7.000000e-03,1.176871e-05,2.108800e-05,3.340946e+00,2.979675e+00,3.309090e+00,3.557270e+00,1.810600e-01,4.150410e-02,7.498690e-01
8.000000e-03,1.575676e-05,2.673760e-05,3.325970e+00,2.944950e+00,4.091800e+00,3.586840e+00,1.791260e-01,3.695430e-02,7.367120e-01
9.000000e-03,1.878067e-05,3.196800e-05,3.218376e+00,2.899018e+00,4.876170e+00,3.594140e+00,1.797120e-01,3.172110e-02,7.274250e-01
1.000000e-02,2.266399e-05,3.647200e-05,3.238804e+00,2.953923e+00,4.984810e+00,3.529920e+00,1.509000e-01,3.625550e-02,7.396810e-01
1.100000e-02,2.703000e-05,4.420160e-05,3.170599e+00,2.929276e+00,6.869490e+00,3.640000e+00,1.811670e-01,2.320870e-02,7.155200e-01
1.200000e-02,3.448074e-05,5.365440e-05,3.222638e+00,2.967571e+00,4.381580e+00,3.370650e+00,1.542520e-01,3.244840e-02,7.281190e-01
1.300000e-02,3.811552e-05,5.799120e-05,3.103171e+00,2.940287e+00,3.106370e+00,3.266060e+00,1.392650e-01,3.348210e-02,7.211030e-01
1.400000e-02,4.475665e-05,7.020080e-05,3.108534e+00,2.980776e+00,3.952400e+00,3.283260e+00,1.435420e-01,3.364050e-02,7.047210e-01
1.500000e-02,4.805158e-05,7.594880e-05,3.061991e+00,2.957851e+00,5.029870e+00,3.324320e+00,1.695230e-01,3.338450e-02,6.986390e-01
1.600000e-02,5.889236e-05,9.099200e-05,3.093726e+00,2.968522e+00,3.828120e+00,3.195960e+00,1.643480e-01,4.438530e-02,6.866890e-01
1.700000e-02,6.903835e-05,1.000072e-04,3.161830e+00,2.988884e+00,3.891710e+00,3.203920e+00,1.331920e-01,4.557550e-02,7.009350e-01
1.800000e-02,7.772119e-05,1.139056e-04,3.160459e+00,3.024806e+00,2.542170e+00,3.050100e+00,1.646150e-01,4.939470e-02,6.916540e-01
1.900000e-02,8.120886e-05,1.192912e-04,3.097139e+00,3.025829e+00,2.076270e+00,2.909090e+00,1.639220e-01,5.146810e-02,7.028940e-01
2.000000e-02,8.980259e-05,1.261472e-04,3.129361e+00,3.089610e+00,2.008250e+00,2.871060e+00,1.543290e-01,5.236620e-02,6.961680e-01
2.100000e-02,9.983177e-05,1.423952e-04,3.148335e+00,3.063787e+00,1.982030e+00,2.847820e+00,1.647130e-01,5.666140e-02,6.853720e-01
2.200000e-02,1.062742e-04,1.494160e-04,3.083931e+00,3.091198e+00,2.363250e+00,2.859310e+00,1.509270e-01,6.095250e-02,6.673120e-01
2.300000e-02,1.126437e-04,1.581456e-04,3.032431e+00,3.067746e+00,2.074440e+00,2.808280e+00,1.550140e-01,6.405600e-02,6.603850e-01
