index,D,Npart,beta_z,gamma_z,kappa_z,zeta1_z,alpha_eff,m,ar_mono,vel
66,0.002,62.0,0.283405,-2.73985,0.20917399999999997,0.178378,0.733055,3.6495023701493094e-08,0.07330550000000001,0.5550259894410595
67,0.003,65.0,2.53625,-3.55551,0.192904,0.057547900000000006,0.691448,8.482101573973507e-08,0.06914479999999999,0.6268169002741697
68,0.004,56.0,5.96937,-3.81141,0.16046400000000002,0.0426202,0.688999,1.5430359377277345e-07,0.0688999,0.683317146161595
69,0.005,61.0,12.0048,-3.8793,0.161233,0.0236843,0.686692,2.4544199260479484e-07,0.0686692,0.7306263354432132
70,0.006,62.0,11.1683,-3.8309300000000004,0.123446,0.021778,0.664482,3.5862937542256307e-07,0.0664482,0.7717021249627214
71,0.007,62.0,12.9082,-3.7823800000000003,0.154049,0.024046099999999997,0.656717,4.941913986544105e-07,0.0656717,0.8082277042583189
72,0.008,72.0,9.493789999999999,-3.5726,0.147499,0.0250845,0.652041,6.524067293651049e-07,0.0652041,0.8412620870396392
73,0.009,67.0,6.8312,-3.3817699999999995,0.184906,0.03275,0.6484949999999999,8.335193353006112e-07,0.06484949999999999,0.8715194299121928
74,0.01,57.0,5.2499400000000005,-3.20934,0.128327,0.0362909,0.6547970000000001,1.0377464563784043e-06,0.06547970000000002,0.8995065311235806
75,0.011,60.0,5.32867,-3.16151,0.140692,0.04008869999999999,0.656721,1.2652840813722637e-06,0.0656721,0.9255974011630549
76,0.012,60.0,3.75595,-2.95847,0.15574000000000002,0.037092400000000005,0.684372,1.5163108787876372e-06,0.0684372,0.9500767599142549
77,0.013,59.0,3.4751300000000005,-2.89445,0.154904,0.048187,0.6605800000000001,1.7909911170971042e-06,0.066058,0.9731668948614018
78,0.014,75.0,1.47761,-2.54858,0.156054,0.07231939999999999,0.659764,2.0894768954718916e-06,0.0659764,0.9950450228082166
79,0.015,65.0,1.31374,-2.44023,0.157717,0.0829013,0.6851970000000001,2.4119098875040796e-06,0.0685197,1.0158549443478424
80,0.016,78.0,1.44707,-2.50599,0.156279,0.0807905,0.666246,2.758422730890248e-06,0.0666246,1.0357151186177365
81,0.017,62.0,1.13799,-2.3967099999999997,0.145438,0.0965959,0.650175,3.1291401534007907e-06,0.06501749999999999,1.0547244105103917
82,0.018,62.0,1.28843,-2.4451,0.15812400000000001,0.0811165,0.6459159999999999,3.524179898277905e-06,0.0645916,1.0729662772579422
83,0.019,73.0,0.898501,-2.26519,0.15267,0.11231,0.695859,3.943653494306772e-06,0.0695859,1.0905118804210447
84,0.02,61.0,0.9060469999999999,-2.26852,0.164623,0.12219400000000001,0.676632,4.387666903682468e-06,0.0676632,1.1074224405600614
85,0.021,51.0,1.0158200000000002,-2.3323099999999997,0.153522,0.0834928,0.683891,4.856321072381798e-06,0.06838910000000001,1.123751047150056
86,0.022,62.0,0.754057,-2.22301,0.14618699999999998,0.101492,0.699971,5.3497124017824655e-06,0.0699971,1.1395440694484684
87,0.023,53.0,0.712499,-2.1753,0.15226800000000001,0.0949573,0.6655449999999999,5.86793315595886e-06,0.0665545,1.1548422702572405
