# Table of coefficients for single dendrite crystals rimed (riming Mode C) from Leinonen and Szymer 2015 
# author: Leonie von Terzi, email:lterzi@uni-koeln.de
# Particles generated with monomers from an inverse exponential PSD, size parameter:650e-6, min_size:0.0001, max_size:0.003, grid_res:4e-5, riming_mode:subsequent
# am=177.36049953,bm=3.17795608,av=354.26307716,bv=0.86071708,aa=0.97940,ba=2.13631512,monomer_alpha=1.000
Diam_max,mass,area,vel_Bohm,vel_KC,beta,gamma,kappa,zeta,alpha_eff
2.000000e-03,1.373215e-07,6.109385e-07,1.059559e+00,1.146569e+00,4.291580e-01,2.752370e+00,1.600620e-01,1.231200e-01,7.844250e-01
3.000000e-03,1.075800e-06,2.920124e-06,2.444443e+00,2.302815e+00,7.120290e-01,3.110300e+00,1.589200e-01,1.031510e-01,8.342820e-01
4.000000e-03,3.236986e-06,5.896800e-06,3.290192e+00,2.997252e+00,7.800830e-01,3.236350e+00,1.491100e-01,6.996360e-02,8.651900e-01
5.000000e-03,6.600006e-06,9.818570e-06,3.856929e+00,3.345533e+00,8.857930e-01,3.285870e+00,1.374930e-01,5.754330e-02,8.726880e-01
6.000000e-03,1.288942e-05,1.526607e-05,4.325607e+00,3.634548e+00,8.198230e-01,3.257520e+00,1.269400e-01,5.646850e-02,8.832070e-01
7.000000e-03,2.088934e-05,2.096757e-05,4.583863e+00,3.804490e+00,7.565400e-01,3.243750e+00,1.222000e-01,6.153050e-02,8.820800e-01
8.000000e-03,3.045077e-05,2.735539e-05,4.729347e+00,3.935220e+00,8.406200e-01,3.286730e+00,1.150430e-01,5.469940e-02,8.802870e-01
9.000000e-03,4.545247e-05,3.606036e-05,4.967458e+00,4.142509e+00,9.531180e-01,3.320510e+00,1.180140e-01,5.463410e-02,8.805870e-01
1.000000e-02,6.284095e-05,4.477126e-05,5.208888e+00,4.356893e+00,8.083670e-01,3.283340e+00,1.199560e-01,6.074120e-02,8.718170e-01
1.100000e-02,8.618913e-05,5.457158e-05,5.524166e+00,4.637953e+00,7.547130e-01,3.241920e+00,1.241320e-01,7.898130e-02,8.923870e-01
1.200000e-02,1.184365e-04,6.809680e-05,5.838641e+00,4.884094e+00,nan,nan,nan,nan,nan
