# Table of coefficients for rimed dendritic aggregates (riming Mode A) from Leinonen and Szymer 2015 
# author: Leonie von Terzi, email:lterzi@uni-koeln.de
# Particles generated with monomers from an inverse exponential PSD, size parameter:650e-6, min_size:0.0001, max_size:0.003, grid_res:4e-5, riming_mode:simultaneous
# am=0.17089460,bm=1.98052034,av=3.16357017,bv=0.01692403,aa=0.07434,ba=1.69154720,monomer_alpha=0.300
Diam_max,mass,area,vel_Bohm,vel_KC,beta,gamma,kappa,zeta,alpha_eff
2.000000e-03,4.060096e-07,1.378105e-06,2.052821e+00,1.982397e+00,3.497810e-01,2.882560e+00,1.622100e-01,1.309890e-01,8.414870e-01
3.000000e-03,1.186680e-06,3.039480e-06,2.643404e+00,2.460644e+00,5.934340e-01,3.215250e+00,1.961790e-01,8.135140e-02,7.910810e-01
4.000000e-03,2.479549e-06,5.318097e-06,2.995999e+00,2.795464e+00,1.291680e+00,3.483490e+00,1.760430e-01,6.875530e-02,7.384550e-01
5.000000e-03,4.315175e-06,8.430251e-06,3.148147e+00,2.965526e+00,1.925950e+00,3.601400e+00,1.858980e-01,5.249880e-02,6.899000e-01
6.000000e-03,6.134280e-06,1.164389e-05,3.116359e+00,2.970819e+00,3.975440e+00,3.705810e+00,1.567730e-01,5.577650e-02,6.916240e-01
7.000000e-03,8.045039e-06,1.454772e-05,3.102468e+00,2.988548e+00,5.129060e+00,3.774340e+00,1.490650e-01,4.847680e-02,6.657080e-01
8.000000e-03,1.071758e-05,1.861355e-05,3.065986e+00,2.952455e+00,6.019710e+00,3.781650e+00,1.497730e-01,4.840930e-02,6.554580e-01
9.000000e-03,1.420550e-05,2.333875e-05,3.092280e+00,2.966989e+00,7.501270e+00,3.781340e+00,1.316350e-01,3.724740e-02,6.583200e-01
1.000000e-02,1.699100e-05,2.828132e-05,3.016881e+00,2.905370e+00,6.510670e+00,3.648700e+00,1.375670e-01,3.257210e-02,6.743160e-01
1.100000e-02,2.194693e-05,3.414470e-05,3.058525e+00,2.982311e+00,9.254780e+00,3.679450e+00,1.714450e-01,3.106490e-02,6.775960e-01
1.200000e-02,2.520502e-05,3.932734e-05,2.964468e+00,2.955216e+00,7.798220e+00,3.597160e+00,1.861020e-01,3.044870e-02,6.712690e-01
1.300000e-02,2.924546e-05,4.438501e-05,2.943821e+00,2.984930e+00,6.905220e+00,3.480900e+00,1.511120e-01,2.779250e-02,6.615620e-01
1.400000e-02,3.451602e-05,5.211273e-05,2.936457e+00,2.994797e+00,5.690840e+00,3.371430e+00,1.571520e-01,3.108710e-02,6.558950e-01
1.500000e-02,3.974729e-05,5.727970e-05,2.908181e+00,3.055862e+00,6.269940e+00,3.453590e+00,1.320900e-01,3.063700e-02,6.434970e-01
1.600000e-02,4.533050e-05,6.418012e-05,2.908959e+00,3.087784e+00,8.379020e+00,3.472540e+00,1.822490e-01,2.295190e-02,6.395840e-01
1.700000e-02,5.250567e-05,7.363483e-05,2.935459e+00,3.102608e+00,6.402100e+00,3.352780e+00,1.564860e-01,2.639220e-02,6.384900e-01
1.800000e-02,6.079084e-05,8.364215e-05,2.980832e+00,3.147820e+00,4.218840e+00,3.139300e+00,1.705480e-01,4.204460e-02,6.570920e-01
1.900000e-02,6.516391e-05,8.946822e-05,2.932799e+00,3.146819e+00,4.321280e+00,3.110910e+00,1.525310e-01,4.369670e-02,6.648780e-01
2.000000e-02,7.195801e-05,9.659831e-05,2.929295e+00,3.190210e+00,4.890470e+00,3.050230e+00,1.747630e-01,3.521220e-02,6.783310e-01
2.100000e-02,8.175288e-05,1.078181e-04,2.973133e+00,3.228471e+00,4.834260e+00,3.060670e+00,1.803360e-01,3.708470e-02,6.525240e-01
2.200000e-02,9.277802e-05,1.202947e-04,3.017969e+00,3.264803e+00,3.262350e+00,2.910090e+00,1.658820e-01,4.662490e-02,6.728730e-01
2.300000e-02,9.865836e-05,1.244811e-04,2.995448e+00,3.308351e+00,2.491450e+00,2.794240e+00,1.297470e-01,6.482120e-02,6.724140e-01
