# Table of coefficients for rimed dendritic aggregates (riming Mode B) from Leinonen and Szymer 2015 
# author: Leonie von Terzi, email:lterzi@uni-koeln.de
# Particles generated with monomers from an inverse exponential PSD, size parameter:650e-6, min_size:0.0001, max_size:0.003, grid_res:4e-5, riming_mode:subsequent
# am=0.19979696,bm=1.97644929,av=2.97031580,bv=-0.01178646,aa=0.12397,ba=1.75858219,monomer_alpha=0.500
Diam_max,mass,area,vel_Bohm,vel_KC,beta,gamma,kappa,zeta,alpha_eff
2.000000e-03,5.571373e-07,1.715840e-06,2.284526e+00,2.142269e+00,2.967080e-01,2.781580e+00,1.467630e-01,1.246480e-01,8.686520e-01
3.000000e-03,1.285510e-06,3.267855e-06,2.688032e+00,2.471129e+00,6.076150e-01,3.123100e+00,1.771060e-01,9.537350e-02,8.359010e-01
4.000000e-03,2.530869e-06,5.673007e-06,2.997977e+00,2.751183e+00,1.494530e+00,3.424490e+00,1.827140e-01,6.265030e-02,7.973360e-01
5.000000e-03,4.705450e-06,9.380582e-06,3.259397e+00,2.941168e+00,2.138080e+00,3.476910e+00,1.924810e-01,4.088300e-02,7.970100e-01
6.000000e-03,7.540404e-06,1.404242e-05,3.353293e+00,3.001910e+00,3.386550e+00,3.581710e+00,1.902660e-01,3.696050e-02,7.674990e-01
7.000000e-03,1.015514e-05,1.826700e-05,3.370029e+00,2.989219e+00,3.309090e+00,3.557270e+00,1.810600e-01,4.150410e-02,7.498690e-01
8.000000e-03,1.336081e-05,2.301169e-05,3.344441e+00,2.973271e+00,4.091800e+00,3.586840e+00,1.791260e-01,3.695430e-02,7.367120e-01
9.000000e-03,1.709515e-05,2.919118e-05,3.326703e+00,2.928190e+00,4.876170e+00,3.594140e+00,1.797120e-01,3.172110e-02,7.274250e-01
1.000000e-02,2.101620e-05,3.442299e-05,3.242877e+00,2.939556e+00,4.984810e+00,3.529920e+00,1.509000e-01,3.625550e-02,7.396810e-01
1.100000e-02,2.517677e-05,4.012000e-05,3.190858e+00,2.946449e+00,6.869490e+00,3.640000e+00,1.811670e-01,2.320870e-02,7.155200e-01
1.200000e-02,3.182595e-05,5.007291e-05,3.216168e+00,2.951605e+00,4.381580e+00,3.370650e+00,1.542520e-01,3.244840e-02,7.281190e-01
1.300000e-02,3.570837e-05,5.537252e-05,3.155436e+00,2.960503e+00,3.106370e+00,3.266060e+00,1.392650e-01,3.348210e-02,7.211030e-01
1.400000e-02,4.147759e-05,6.294106e-05,3.127158e+00,2.991834e+00,3.952400e+00,3.283260e+00,1.435420e-01,3.364050e-02,7.047210e-01
1.500000e-02,4.802812e-05,7.465032e-05,3.119929e+00,2.954005e+00,5.029870e+00,3.324320e+00,1.695230e-01,3.338450e-02,6.986390e-01
1.600000e-02,5.605758e-05,8.756334e-05,3.106558e+00,2.947276e+00,3.828120e+00,3.195960e+00,1.643480e-01,4.438530e-02,6.866890e-01
1.700000e-02,6.021600e-05,9.183738e-05,3.069846e+00,2.985431e+00,3.891710e+00,3.203920e+00,1.331920e-01,4.557550e-02,7.009350e-01
1.800000e-02,7.341184e-05,1.103927e-04,3.171230e+00,3.008990e+00,2.542170e+00,3.050100e+00,1.646150e-01,4.939470e-02,6.916540e-01
1.900000e-02,7.674357e-05,1.147415e-04,3.088500e+00,3.029836e+00,2.076270e+00,2.909090e+00,1.639220e-01,5.146810e-02,7.028940e-01
2.000000e-02,8.564995e-05,1.249141e-04,3.111985e+00,3.074450e+00,2.008250e+00,2.871060e+00,1.543290e-01,5.236620e-02,6.961680e-01
2.100000e-02,9.593945e-05,1.365585e-04,3.135369e+00,3.115636e+00,1.982030e+00,2.847820e+00,1.647130e-01,5.666140e-02,6.853720e-01
2.200000e-02,9.966913e-05,1.478006e-04,3.062426e+00,3.051638e+00,2.363250e+00,2.859310e+00,1.509270e-01,6.095250e-02,6.673120e-01
2.300000e-02,1.077168e-04,1.559755e-04,3.068309e+00,3.097963e+00,2.074440e+00,2.808280e+00,1.550140e-01,6.405600e-02,6.603850e-01
